Time (min),Monomer Conversion,Polymer Wt Fraction,Mn (g/mol),Mw (g/mol),# Monomers,# Radical Chains RR,# Radical Chains BS,# Intact Chains,# Bonds
2.54302e-05,1.99698e-09,0.999999,19852,38837.2,1,2,2,4999999,494998214
0.166667,0.00056156,0.999432,19840.7,38821.6,281205,78,35,4999961,494713931
0.333337,0.0011174,0.998876,19829.7,38805.9,559547,62,21,4999969,494435821
0.500001,0.00165794,0.998336,19819,38790.7,830227,70,31,4999965,494165296
0.666668,0.00221453,0.997779,19807.9,38774.1,1108941,76,32,4999962,493886580
0.833334,0.0027703,0.997221,19796.8,38757.3,1387246,78,36,4999961,493606884
1,0.0033289,0.996663,19785.8,38741.6,1666970,82,42,4999959,493327401
1.16667,0.00388502,0.996107,19774.7,38724.7,1945453,68,32,4999966,493048971
1.33333,0.00443141,0.995564,19764,38710.2,2219059,60,30,4999970,492777426
1.5,0.00497423,0.995017,19753.1,38694.7,2490880,80,43,4999960,492503202
1.66667,0.005506,0.994488,19742.6,38679.9,2757171,74,27,4999963,492238139
1.83333,0.0060521,0.993941,19731.7,38664.6,3030634,76,39,4999962,491964502
2,0.00660389,0.993392,19720.8,38647.9,3306944,70,30,4999965,491689299
2.16667,0.00715186,0.992839,19709.9,38632.9,3581348,86,46,4999957,491412867
2.33333,0.00770503,0.992284,19698.9,38617.1,3858349,82,40,4999959,491134959
2.5,0.00825425,0.99174,19688,38601.1,4133375,68,32,4999966,490862376
2.66667,0.00880991,0.991186,19677,38585.7,4411628,54,21,4999973,490584809
2.83333,0.00935314,0.990639,19666.2,38568.4,4683655,64,33,4999968,490310709
3,0.00989977,0.990092,19655.3,38552.3,4957382,76,35,4999962,490037275
3.16667,0.010431,0.989563,19644.8,38537.1,5223394,68,25,4999966,489772274
3.33333,0.0109913,0.989001,19633.7,38519.7,5503953,70,39,4999965,489490669
3.5,0.011555,0.988438,19622.5,38502.2,5786272,70,30,4999965,489208560
3.66667,0.0121295,0.987866,19611.1,38487.4,6073922,72,26,4999964,488922318
3.83333,0.0126819,0.987312,19600.1,38471.7,6350542,58,29,4999971,488644742
4,0.0132484,0.986744,19588.9,38455.9,6634233,78,49,4999961,488360329
4.16667,0.0137787,0.986214,19578.3,38439.4,6899796,80,40,4999960,488094886
4.33333,0.0143313,0.985664,19567.4,38421.4,7176491,60,20,4999970,487819790
4.5,0.0148731,0.985121,19556.6,38406.4,7447796,72,33,4999964,487547931
4.66667,0.0154291,0.984562,19545.6,38389.3,7726228,68,35,4999966,487268096
4.83333,0.0159703,0.984025,19534.9,38374.8,7997221,60,25,4999970,486999132
5,0.0165107,0.983481,19524.1,38357.6,8267870,66,36,4999967,486726412
5.16667,0.0170426,0.982952,19513.6,38343.7,8534206,74,32,4999963,486461494
5.33334,0.0175669,0.982427,19503.2,38328.9,8796742,68,34,4999966,486198561
5.5,0.018111,0.981883,19492.4,38312,9069190,70,29,4999965,485926270
5.66667,0.0186595,0.981335,19481.5,38295.9,9343889,82,35,4999959,485651724
5.83333,0.0192061,0.980789,19470.6,38280.3,9617589,60,25,4999970,485378540
6,0.0197559,0.980238,19459.7,38264.5,9892915,72,34,4999964,485102359
6.16667,0.0202842,0.979713,19449.3,38250,10157448,56,24,4999972,484839592
6.33333,0.020829,0.979164,19438.4,38233.6,10430291,74,31,4999963,484564555
6.5,0.0213738,0.978619,19427.6,38216.1,10703105,64,29,4999968,484291867
6.66667,0.0219264,0.978068,19416.6,38199.7,10979825,74,33,4999963,484015985
6.83333,0.022451,0.977542,19406.2,38183.9,11242507,72,32,4999964,483752570
7,0.0230068,0.976986,19395.1,38167.5,11520840,72,35,4999964,483474075
7.16667,0.0235444,0.976449,19384.5,38151.8,11790050,74,40,4999963,483205448
7.33333,0.0240801,0.975914,19373.9,38136.4,12058285,72,36,4999964,482937126
7.5,0.0246229,0.975369,19363,38122.1,12330115,86,37,4999957,482664435
7.66667,0.0251652,0.974827,19352.3,38105.8,12601679,72,31,4999964,482393145
7.83333,0.025709,0.974284,19341.5,38089.7,12873972,78,31,4999961,482121144
8,0.0262388,0.97375,19330.9,38075.2,13139277,88,44,4999956,481853829
8.16667,0.0267755,0.973218,19320.3,38059.5,13408021,74,33,4999963,481587390
8.33333,0.0272988,0.972696,19310,38044.8,13670073,66,30,4999967,481325644
8.5,0.027833,0.972162,19299.4,38027.8,13937561,68,29,4999966,481058234
8.66667,0.0283761,0.971619,19288.6,38012.3,14209538,68,36,4999966,480786306
8.83333,0.0289151,0.971077,19277.8,37996.8,14479460,72,35,4999964,480515240
9,0.0294414,0.970552,19267.4,37982.6,14743018,70,36,4999965,480252404
9.16667,0.0299827,0.970013,19256.7,37966.2,15014046,76,29,4999962,479982138
9.33333,0.0305002,0.969494,19246.4,37950.2,15273199,74,34,4999963,479722263
9.5,0.0310354,0.96896,19235.8,37935.1,15541198,74,32,4999963,479454862
9.66667,0.031565,0.968429,19225.3,37920.4,15806409,72,33,4999964,479189359
