Time (min),Monomer Conversion,Polymer Wt Fraction,Mn (g/mol),Mw (g/mol),# Monomers,# Radical Chains RR,# Radical Chains BS,# Intact Chains,# Bonds
6.0658e-06,0,0.999997,158606,311131,0,4,4,999998,798998001
0.166667,0.00104767,0.998861,158425,310833,838298,118,100,999941,798088398
0.333333,0.00208932,0.997824,158261,310542,1671770,106,95,999947,797259010
0.500001,0.00314505,0.996768,158093,310240,2516519,100,82,999950,796414090
0.666667,0.00422553,0.995657,157917,309947,3381069,124,107,999938,795524808
0.833333,0.00529685,0.994599,157750,309669,4238285,114,95,999943,794678756
1,0.00636426,0.993559,157584,309333,5092376,112,97,999944,793846023
1.16667,0.00741393,0.992502,157417,309029,5932273,114,99,999943,793000383
1.33333,0.00845436,0.99147,157253,308776,6764768,98,85,999951,792174525
1.5,0.00948385,0.990412,157085,308503,7588523,122,106,999939,791328285
1.66667,0.0105394,0.989353,156917,308192,8433135,114,105,999943,790480605
1.83333,0.0115995,0.988312,156752,307868,9281331,112,101,999944,789647528
2,0.0126633,0.987252,156584,307548,10132600,104,91,999948,788799648
2.16667,0.013707,0.986189,156416,307251,10967694,102,92,999949,787949531
2.33333,0.0147509,0.985161,156253,306951,11802963,120,103,999940,787126996
2.5,0.0157909,0.9841,156084,306633,12635113,126,111,999937,786277605
2.66667,0.0168592,0.983038,155916,306319,13489906,120,108,999940,785428217
2.83333,0.0179145,0.981964,155745,305952,14334291,106,98,999947,784568636
3,0.0189627,0.980912,155579,305593,15173071,130,120,999935,783726812
3.16667,0.0200147,0.979876,155414,305304,16014801,120,109,999940,782897988
3.33333,0.021045,0.978853,155252,305001,16839185,124,112,999938,782079565
3.5,0.0220891,0.97782,155088,304742,17674660,98,87,999951,781252351
3.66667,0.0231124,0.976797,154926,304447,18493437,112,103,999944,780434371
3.83333,0.0241666,0.975732,154757,304162,19336932,110,90,999945,779581871
4,0.0252105,0.97469,154592,303875,20172205,112,101,999944,778748406
4.16667,0.0262639,0.973607,154420,303531,21015140,142,123,999929,777881507
4.33333,0.0272831,0.972644,154267,303291,21830611,96,82,999952,777111477
4.5,0.0283126,0.97159,154100,302984,22654392,110,96,999945,776267613
4.66667,0.0293588,0.970567,153938,302692,23491485,122,101,999939,775449450
4.83333,0.030385,0.969494,153768,302358,24312638,128,111,999936,774591049
5,0.031421,0.968485,153608,302102,25141543,116,96,999942,773783014
5.16667,0.0324577,0.967438,153442,301830,25971115,102,91,999949,772945847
5.33333,0.0334847,0.966432,153282,301583,26792804,114,99,999943,772140924
5.5,0.0345209,0.965407,153119,301246,27621926,88,77,999956,771320414
5.66667,0.0355503,0.964367,152954,300990,28445658,104,92,999948,770487881
5.83333,0.0365855,0.963327,152790,300687,29273981,112,93,999944,769656254
6,0.037595,0.962304,152627,300395,30081737,136,112,999932,768837919
6.16667,0.0386611,0.961254,152461,300110,30934728,96,79,999952,767997290
6.33333,0.0396882,0.960211,152295,299821,31756617,136,119,999932,767163003
6.5,0.0407242,0.959157,152128,299528,32585524,130,116,999935,766319158
6.66667,0.0417427,0.958161,151970,299272,33400503,122,114,999939,765522512
