Time (min),Monomer Conversion,Polymer Wt Fraction,Side Product Wt Fraction,Mn (g/mol),Mw (g/mol),# Monomers,# Radical Chains RR,# Radical Chains BS,# Intact Chains,# Bonds,# Side Prods
0.000000,0.000000,0.999977,0.000000,1210002.777792,1815728.471767,0,4,4,99998,610319081,0
0.166667,0.284244,0.702527,0.000000,850078.851870,1643635.891541,173516055,1918,1896,99041,428742176,0
0.333333,0.519691,0.472780,0.000000,572078.655282,1138000.533595,317244108,1618,1602,99191,288493695,0
0.500000,0.706019,0.290526,0.000000,351544.877754,705832.581843,430987741,1272,1212,99364,177236419,0
0.666667,0.842400,0.156380,0.000000,189224.054192,390908.856791,514241531,862,769,99569,95346957,0
0.833333,0.928540,0.071105,0.000000,86039.005444,189034.653488,566825541,614,460,99693,43290993,0
1.000000,0.970518,0.029425,0.000000,35604.993323,92419.603842,592451065,374,164,99813,17847402,0
1.166667,0.986455,0.013527,0.000000,16368.006218,53553.705084,602179287,280,81,99860,8142481,0
1.333333,0.992625,0.007371,0.000000,8919.650011,35999.834860,605945915,200,29,99900,4384814,0
1.500000,0.995455,0.004543,0.000000,5497.038204,26228.686879,607673379,138,15,99931,2658105,0
1.666667,0.996854,0.003144,0.000000,3804.589174,20407.133933,608527817,132,11,99934,1804278,0
1.833334,0.997664,0.002336,0.000000,2826.815874,16536.985764,609021844,90,2,99955,1310977,0
2.000000,0.998182,0.001818,0.000000,2199.469273,13507.017089,609338073,104,8,99948,994495,0
2.166669,0.998515,0.001485,0.000000,1796.495710,11364.054694,609541664,66,2,99967,791177,0
2.333333,0.998755,0.001245,0.000000,1506.277721,9663.349769,609687960,80,3,99960,644773,0
2.500000,0.998931,0.001069,0.000000,1293.145453,8155.472926,609795526,68,3,99966,537243,0
2.666669,0.999055,0.000945,0.000000,1142.911453,6990.609482,609871407,62,1,99969,461448,0
2.833335,0.999153,0.000846,0.000000,1024.273597,6038.739831,609931215,70,2,99965,401601,0
3.000001,0.999228,0.000772,0.000000,933.567470,5223.045276,609977029,48,1,99976,355828,0
3.166667,0.999286,0.000713,0.000000,863.351397,4636.006013,610012405,52,2,99974,320407,0
3.333627,0.999333,0.000667,0.000000,807.162876,4090.210399,610040807,46,0,99977,292057,0
3.500008,0.999368,0.000632,0.000000,764.664987,3690.387694,610062236,56,0,99972,270623,0
3.666699,0.999401,0.000599,0.000000,724.803369,3272.056946,610082324,40,2,99980,250504,0
3.833392,0.999428,0.000572,0.000000,692.228974,2972.818470,610098768,46,2,99977,234074,0
4.000169,0.999450,0.000550,0.000000,665.213570,2707.573334,610112419,46,0,99977,220445,0
4.166697,0.999470,0.000529,0.000000,640.689437,2471.359874,610124817,22,0,99989,208059,0
4.333467,0.999488,0.000512,0.000000,619.526745,2227.817983,610135418,40,2,99980,197393,0
4.500053,0.999504,0.000496,0.000000,600.499306,2010.545533,610145053,42,1,99979,187795,0
4.666723,0.999516,0.000484,0.000000,585.795647,1866.248274,610152491,40,0,99980,180376,0
4.833498,0.999527,0.000472,0.000000,571.739088,1718.059415,610159566,32,1,99984,173280,0
5.000001,0.999537,0.000462,0.000000,559.545550,1592.879397,610165703,52,2,99974,167140,0
