Time (min),Monomer Conversion,Polymer Wt Fraction,Mn (g/mol),Mw (g/mol),# Monomers,# Radical Chains RR,# Radical Chains BS,# Intact Chains,# Bonds
4.89555e-05,9.98489e-09,0.999999,19852,38861.6,1,2,2,999999,98999515
0.166671,0.000582488,0.999416,19840.4,38846.5,58337,12,5,999994,98941076
0.333337,0.0011067,0.99889,19830,38831.9,110837,12,4,999994,98888408
0.500004,0.00165715,0.998328,19818.8,38815.3,165966,22,11,999989,98832122
0.666668,0.00223416,0.99776,19807.5,38799.2,223754,14,9,999993,98775248
0.833334,0.0027469,0.997247,19797.3,38782,275106,14,5,999993,98723851
1,0.00330577,0.996683,19786.1,38764.8,331077,22,13,999989,98667361
1.16668,0.00388227,0.996111,19774.8,38748,388815,16,6,999992,98610141
1.33333,0.00442841,0.995564,19763.9,38727.7,443511,12,6,999994,98555315
1.50001,0.00499918,0.994996,19752.7,38710.9,500675,14,4,999993,98498495
1.66667,0.00551533,0.994475,19742.3,38695.1,552368,18,10,999991,98446309
1.83334,0.00602251,0.993973,19732.3,38680.8,603163,10,6,999995,98395943
2,0.00659057,0.993404,19721.1,38664.7,660054,18,8,999991,98338991
2.16667,0.00710723,0.992891,19710.9,38653.6,711799,14,4,999993,98287679
2.33333,0.00761651,0.99238,19700.7,38641.4,762804,16,6,999992,98236480
2.5,0.00814451,0.991849,19690.2,38627.1,815684,14,5,999993,98183322
2.66667,0.00865327,0.991341,19680.1,38613.9,866637,18,9,999991,98132444
2.83334,0.00918852,0.990806,19669.5,38599.8,920243,12,4,999994,98078842
3,0.00970486,0.990293,19659.3,38585.4,971955,12,3,999994,98027413
3.16667,0.0102402,0.989754,19648.6,38566.7,1025572,16,7,999992,97973496
3.33333,0.0107514,0.989241,19638.4,38553.4,1076763,12,6,999994,97922127
3.5,0.011279,0.988713,19627.9,38536.7,1129607,20,9,999990,97869206
3.66667,0.0118212,0.988169,19617.1,38521.7,1183907,18,8,999991,97814741
3.83334,0.0123562,0.987637,19606.6,38505.3,1237486,14,6,999993,97761430
4,0.0128795,0.987112,19596.1,38490.4,1289895,16,7,999992,97708856
4.16667,0.0134365,0.986555,19585.1,38473.7,1345688,24,13,999988,97653096
4.33333,0.0139769,0.986014,19574.4,38456.2,1399806,14,8,999993,97598908
4.5,0.0145223,0.985471,19563.6,38440.5,1454424,14,7,999993,97544515
4.66667,0.0150887,0.984908,19552.4,38423.6,1511156,10,4,999995,97488122
4.83334,0.0156216,0.984367,19541.7,38410.4,1564523,22,9,999989,97433986
5,0.0161624,0.983827,19530.9,38394.4,1618691,18,9,999991,97379824
5.16667,0.0167165,0.983283,19520.1,38381.8,1674178,12,2,999994,97325362
5.33334,0.0171984,0.982794,19510.4,38370.2,1722440,14,7,999993,97276426
5.50001,0.0177116,0.982286,19500.3,38358.9,1773839,16,4,999992,97225512
5.66668,0.0182314,0.981767,19490,38343.5,1825901,8,3,999996,97173543
5.83334,0.0187851,0.981207,19478.9,38325.5,1881358,16,9,999992,97117418
6,0.0193284,0.980664,19468.1,38308.7,1935764,10,5,999995,97063072
6.16667,0.0198509,0.980135,19457.6,38291,1988094,12,7,999994,97010087
6.33334,0.0203499,0.979641,19447.8,38277.5,2038072,14,10,999993,96960618
6.5,0.0208664,0.97913,19437.7,38262.6,2089796,10,4,999995,96909473
6.66667,0.0214142,0.978577,19426.7,38244.3,2144666,16,8,999992,96854020
6.83333,0.0219155,0.978079,19416.8,38231.8,2194865,10,5,999995,96804219
7,0.0224659,0.97753,19405.9,38215.2,2249988,12,6,999994,96749196
7.16667,0.0229948,0.976999,19395.4,38200.8,2302957,12,4,999994,96695978
7.33333,0.0235006,0.976498,19385.4,38188.1,2353618,8,5,999996,96645818
7.50001,0.0240544,0.975937,19374.3,38167.7,2409077,12,7,999994,96589704
7.66667,0.0245452,0.975453,19364.7,38153.4,2458231,12,2,999994,96541206
7.83335,0.0250691,0.974927,19354.3,38136,2510706,8,3,999996,96488527
8,0.0256175,0.97437,19343.2,38120.2,2565627,22,14,999989,96432742
8.16667,0.0261536,0.973836,19332.6,38104.9,2619320,16,8,999992,96379254
8.33334,0.0266648,0.973328,19322.5,38090.7,2670517,14,6,999993,96328348
8.5,0.0271478,0.972845,19312.9,38076,2718888,14,6,999993,96279984
8.66667,0.0276763,0.972315,19302.4,38063.6,2771823,14,10,999993,96226957
8.83334,0.0282175,0.971777,19291.7,38045.5,2826023,14,4,999993,96172998
9,0.0287718,0.971221,19280.7,38031.2,2881533,16,7,999992,96117368
9.16667,0.0292961,0.970699,19270.3,38014.7,2934039,14,6,999993,96065052
9.33334,0.0298017,0.970192,19260.2,38000,2984679,16,4,999992,96014263
9.5,0.0302935,0.969703,19250.6,37982.7,3033939,10,4,999995,95965351
9.66667,0.0308303,0.969166,19239.9,37968.4,3087696,12,4,999994,95911576
9.83333,0.0313335,0.968655,19229.7,37953.7,3138096,20,11,999990,95860319
10,0.031839,0.968152,19219.8,37940.2,3188717,16,6,999992,95810015
10.1667,0.0323981,0.96759,19208.6,37922.8,3244717,18,14,999991,95753724
10.3333,0.0329439,0.967049,19197.9,37908.5,3299381,10,4,999995,95699552
10.5,0.0334594,0.966534,19187.6,37893.6,3351003,10,5,999995,95647914
10.6667,0.0339817,0.966005,19177.1,37877.2,3403310,20,9,999990,95594952
10.8333,0.0345275,0.965465,19166.4,37859.4,3457973,10,5,999995,95540869
11,0.03505,0.964946,19156.1,37845,3510300,10,7,999995,95488890
11.1667,0.0355534,0.964438,19146,37832.6,3560719,16,8,999992,95437981
11.3333,0.0360967,0.963891,19135.2,37817.4,3615129,20,12,999990,95383244
11.5,0.0366323,0.963362,19124.7,37802,3668779,14,6,999993,95330303
11.6667,0.0371365,0.962855,19114.6,37788.9,3719266,14,6,999993,95279533
11.8333,0.0376974,0.962297,19103.5,37773.2,3775445,16,10,999992,95223555
12,0.0382138,0.961779,19093.2,37758.3,3827163,18,9,999991,95171756
12.1667,0.0387205,0.961279,19083.3,37744.9,3877911,10,3,999995,95121641
12.3333,0.0393004,0.960694,19071.7,37726,3935990,14,5,999993,95063082
12.5,0.0398222,0.960176,19061.4,37710.6,3988246,14,4,999993,95011135
12.6667,0.0403556,0.959642,19050.8,37694.3,4041669,12,1,999994,94957722
12.8333,0.0408955,0.9591,19040.1,37676.4,4095737,14,3,999993,94903417
13,0.0414396,0.958551,19029.2,37662.1,4150228,16,8,999992,94848418
13.1667,0.0419459,0.95805,19019.2,37647.2,4200941,10,5,999995,94798301
13.3333,0.0424717,0.957525,19008.8,37632.6,4253602,16,8,999992,94745674
13.5,0.0430292,0.956962,18997.6,37615.7,4309435,12,7,999994,94689315
13.6667,0.0435999,0.956384,18986.1,37598,4366590,22,11,999989,94631375
13.8333,0.0440836,0.95591,18976.7,37584.3,4415034,16,6,999992,94583901
14,0.0445813,0.955412,18966.8,37569.9,4464877,20,6,999990,94534084
14.1667,0.0451021,0.954895,18956.6,37551.3,4517039,16,5,999992,94482316
14.3333,0.0456124,0.954386,18946.5,37537.2,4568148,10,2,999995,94431320
14.5,0.0461108,0.953887,18936.6,37524.9,4618062,12,3,999994,94381343
14.6667,0.0465633,0.953432,18927.5,37509,4663378,14,6,999993,94335799
14.8333,0.0470347,0.95296,18918.2,37494,4710586,12,6,999994,94288459
15,0.0475356,0.95246,18908.2,37483,4760752,12,6,999994,94238410
15.1667,0.0480791,0.951918,18897.5,37469.4,4815185,12,3,999994,94184126
15.3333,0.0485853,0.95141,18887.4,37452.4,4865887,16,6,999992,94133255
15.5,0.049056,0.950938,18878,37437.9,4913025,16,5,999992,94085972
15.6667,0.0496036,0.950391,18867.2,37424.2,4967863,16,6,999992,94031216
15.8333,0.0500613,0.949933,18858.1,37412.6,5013711,12,5,999994,93985300
16,0.0506275,0.949365,18846.8,37395.9,5070414,12,6,999994,93928489
16.1667,0.051141,0.948852,18836.6,37384.1,5121841,16,7,999992,93877060
16.3333,0.0516521,0.948348,18826.6,37369.5,5173030,6,1,999997,93826551
16.5,0.0521769,0.947819,18816.1,37353.5,5225583,12,3,999994,93773610
16.6667,0.0527241,0.947267,18805.2,37336.4,5280393,10,5,999995,93718373
16.8333,0.0531785,0.946817,18796.2,37323.8,5325902,12,5,999994,93673243
17,0.053694,0.9463,18785.9,37308.2,5377529,14,9,999993,93621483
17.1667,0.0542014,0.945797,18776,37295.3,5428341,8,2,999996,93571141
17.3333,0.0547396,0.945258,18765.3,37281.1,5482248,12,2,999994,93517099
17.5,0.0552685,0.944728,18754.7,37267,5535215,14,5,999993,93464082
17.6667,0.0557508,0.944244,18745.1,37251.7,5583520,10,5,999995,93415549
17.8333,0.0562552,0.943741,18735.2,37240.8,5634031,12,3,999994,93365218
18,0.0567649,0.943224,18724.9,37222.5,5685081,18,8,999991,93313412
18.1667,0.0572673,0.942732,18715.1,37206.8,5735400,8,2,999996,93264155
18.3333,0.0577388,0.942253,18705.6,37194.7,5782621,18,8,999991,93216162
18.5,0.0582382,0.941758,18695.8,37182.5,5832638,16,9,999992,93166552
18.6667,0.0587636,0.941235,18685.4,37163,5885251,8,3,999996,93114253
18.8333,0.0592708,0.940726,18675.3,37147.9,5936046,8,2,999996,93063249
19,0.059762,0.940233,18665.5,37134.7,5985245,10,5,999995,93013870
19.1667,0.0602523,0.939739,18655.7,37119.9,6034346,12,5,999994,92964365
19.3333,0.0607323,0.939265,18646.3,37107.5,6082424,10,5,999995,92916869
19.5,0.0612487,0.93874,18635.9,37092,6134135,20,12,999990,92864369
19.6667,0.061782,0.938213,18625.4,37076,6187549,10,5,999995,92811563
19.8333,0.0622882,0.937696,18615.1,37059.8,6238250,14,8,999993,92759795
20,0.0628066,0.937188,18605.1,37044.9,6290163,8,5,999996,92708896
20.1667,0.0633311,0.936667,18594.7,37027.6,6342700,10,4,999995,92656708
20.3333,0.0638216,0.936168,18584.8,37014.2,6391824,14,10,999993,92606763
20.5004,0.0643094,0.935689,18575.3,36998.1,6440677,12,2,999994,92558740
20.6667,0.0647775,0.935219,18566,36986.4,6487556,14,3,999993,92511671
20.8333,0.0652427,0.934746,18556.6,36972.2,6534146,22,13,999989,92464374
21,0.0657636,0.934231,18546.4,36956.5,6586315,20,8,999990,92412769
21.1667,0.0662497,0.933744,18536.7,36944.5,6635001,12,7,999994,92364016
21.3333,0.0667162,0.933283,18527.5,36932.3,6681717,8,2,999996,92317801
21.5,0.0672491,0.932742,18516.8,36917.7,6735091,12,9,999994,92263669
21.6667,0.0677947,0.932197,18506,36901.6,6789727,16,8,999992,92209008
21.8333,0.068309,0.931687,18495.9,36886.2,6841235,10,4,999995,92158002
22,0.0687989,0.931188,18486,36871.2,6890304,20,12,999990,92108039
22.1667,0.069294,0.930702,18476.3,36854.4,6939883,14,6,999993,92059313
22.3333,0.0697893,0.930207,18466.5,36839.8,6989493,12,4,999994,92009697
22.5,0.0702774,0.929719,18456.8,36827.4,7038379,8,4,999996,91960873
22.6667,0.0707553,0.929242,18447.3,36814.5,7086237,12,5,999994,91913077
22.8333,0.0712399,0.928753,18437.6,36801.5,7134771,16,5,999992,91864152
23,0.0717129,0.928287,18428.4,36788.7,7182145,10,1,999995,91817435
23.1667,0.0722297,0.927767,18418,36771.8,7233898,14,2,999993,91765379
23.3333,0.0727043,0.927288,18408.5,36758.9,7281432,14,8,999993,91717371
23.5,0.0732393,0.926757,18398,36741.8,7335017,16,8,999992,91664211
23.6667,0.0737349,0.926257,18388.1,36727.9,7384649,12,9,999994,91614157
23.8333,0.0742148,0.92578,18378.6,36714.1,7432709,16,5,999992,91566390
24,0.0747023,0.925296,18369,36701.5,7481532,14,3,999993,91517854
24.1667,0.0751947,0.924797,18359.1,36687.3,7530847,10,8,999995,91467927
24.3333,0.0756774,0.924319,18349.6,36672,7579190,14,7,999993,91420047
24.5,0.0762034,0.923791,18339.1,36658.1,7631875,14,8,999993,91367180
24.6667,0.0766964,0.923298,18329.3,36642.7,7681250,16,7,999992,91317832
24.8333,0.0771977,0.922793,18319.3,36625.7,7731451,14,9,999993,91267186
25,0.0776719,0.922325,18310,36613.3,7778948,14,4,999993,91220356
25.1667,0.078176,0.921818,18299.9,36597.9,7829428,12,5,999994,91169545
25.3333,0.0786943,0.921305,18289.7,36585,7881341,12,3,999994,91118153
25.5,0.0791778,0.920813,18280,36567.9,7929764,14,6,999993,91068914
25.6667,0.0796568,0.920337,18270.5,36552.8,7977735,14,6,999993,91021221
25.8333,0.0801311,0.919864,18261.1,36539.5,8025236,10,6,999995,90973847
26,0.0806208,0.919372,18251.4,36526.2,8074280,16,7,999992,90924577
26.1667,0.0811242,0.918867,18241.4,36511,8124702,18,9,999991,90874069
26.3333,0.0816287,0.918364,18231.4,36497.5,8175222,16,8,999992,90823644
26.5,0.0821365,0.917857,18221.3,36482.2,8226084,10,4,999995,90772862
26.6667,0.0825963,0.917398,18212.2,36468.3,8272133,10,5,999995,90726897
26.8333,0.0830923,0.916906,18202.4,36452.5,8321805,12,6,999994,90677621
27,0.0836042,0.916391,18192.2,36436.1,8373074,12,7,999994,90626093
27.1667,0.0840532,0.91594,18183.2,36425.1,8418043,12,7,999994,90580927
27.3333,0.0845198,0.915471,18173.9,36412.9,8464775,12,4,999994,90533954
27.5,0.0850218,0.914972,18164,36396.2,8515044,10,4,999995,90483949
27.6667,0.0855056,0.914489,18154.4,36383,8563498,16,4,999992,90435524
27.8333,0.085966,0.914033,18145.4,36371.4,8609606,6,2,999997,90389861
28,0.0864663,0.913532,18135.4,36358.9,8659718,8,2,999996,90339762
28.1667,0.0869466,0.913043,18125.7,36342.9,8707816,16,10,999992,90290719
28.3333,0.087433,0.91256,18116.1,36327.9,8756535,10,7,999995,90242388
28.5,0.0879077,0.912083,18106.7,36312.2,8804078,18,7,999991,90194650
28.6667,0.0884041,0.911588,18096.8,36296.5,8853789,16,7,999992,90145027
28.8333,0.0888794,0.911107,18087.3,36282.9,8901391,14,5,999993,90096866
