Time (min),Monomer Conversion,Polymer Wt Fraction,Mn (g/mol),Mw (g/mol),# Monomers,# Radical Chains RR,# Radical Chains BS,# Intact Chains,# Bonds
1.21195e-06,0,0.999997,792908,1.5566e+06,0,4,4,999998,3998990292
0.166667,0.00117251,0.998242,791516,1.55397e+06,4690205,570,560,999715,3991968043
0.333333,0.00235536,0.9971,790610,1.55173e+06,9421790,568,557,999716,3987399083
0.5,0.00354055,0.995919,789674,1.55017e+06,14162731,580,563,999710,3982676686
0.666667,0.00471396,0.99475,788747,1.54872e+06,18856538,558,545,999721,3977999503
0.833333,0.00589313,0.993551,787797,1.54733e+06,23573403,590,578,999705,3973203189
1,0.00707242,0.99237,786860,1.54573e+06,28290744,556,543,999722,3968480466
1.16667,0.00824263,0.991189,785924,1.54346e+06,32971761,602,589,999699,3963755739
1.33333,0.0094151,0.99002,784997,1.54238e+06,37661831,602,581,999699,3959081166
1.5,0.0106003,0.988856,784074,1.54112e+06,42402985,578,560,999711,3954424308
1.66667,0.0117659,0.987657,783123,1.5392e+06,47065475,566,550,999717,3949625462
1.83333,0.0129378,0.986516,782219,1.53751e+06,51753149,568,549,999716,3945063657
2,0.0141098,0.985384,781321,1.53623e+06,56441499,550,535,999725,3940532669
2.16667,0.015278,0.984186,780371,1.53474e+06,61114441,574,563,999713,3935744044
2.33333,0.0164527,0.983071,779487,1.53308e+06,65813375,570,554,999715,3931281451
2.5,0.0176257,0.981845,778515,1.53069e+06,70505311,552,543,999724,3926379148
2.66667,0.0187865,0.980691,777600,1.52937e+06,75148789,598,582,999701,3921761023
2.83333,0.0199482,0.979492,776649,1.5275e+06,79795920,570,555,999715,3916965367
3,0.0211189,0.978384,775771,1.52595e+06,84478811,544,532,999728,3912533504
3.16667,0.0222827,0.977182,774818,1.52406e+06,89134383,578,566,999711,3907725707
3.33333,0.0234552,0.975955,773845,1.52251e+06,93824545,616,601,999692,3902816483
3.5,0.0246253,0.974839,772959,1.52109e+06,98504776,568,555,999716,3898351078
3.66667,0.0257924,0.973665,772029,1.52009e+06,103173518,592,578,999704,3893658257
3.83333,0.0269636,0.972469,771080,1.51835e+06,107858620,594,580,999703,3888872034
4,0.02813,0.971344,770188,1.51653e+06,112524194,572,559,999714,3884371374
4.16667,0.0292885,0.970151,769242,1.51429e+06,117158327,590,574,999705,3879599093
4.33333,0.0304542,0.969029,768353,1.51266e+06,121821532,560,535,999720,3875113118
4.5,0.0316101,0.967887,767448,1.51099e+06,126445150,574,552,999713,3870545527
4.66667,0.0327717,0.966708,766513,1.50921e+06,131091884,588,573,999706,3865829492
4.83333,0.033938,0.965498,765553,1.50738e+06,135757022,588,563,999706,3860988241
5,0.0350798,0.964409,764690,1.50604e+06,140324559,582,564,999709,3856632676
5.16667,0.0362314,0.96325,763771,1.50419e+06,144931016,560,542,999720,3851996541
5.33333,0.0373896,0.962109,762866,1.50285e+06,149563903,564,553,999718,3847429829
5.5,0.0385404,0.960951,761948,1.50123e+06,154167324,560,533,999720,3842800593
5.66667,0.0396978,0.959768,761010,1.49959e+06,158797301,552,539,999724,3838066273
5.83333,0.0408513,0.958602,760085,1.49838e+06,163411413,600,582,999700,3833401577
6,0.0420131,0.957448,759170,1.49693e+06,168058886,610,583,999695,3828786454
6.16667,0.0431773,0.956288,758250,1.49497e+06,172715806,568,552,999716,3824144756
6.33333,0.0443334,0.955182,757373,1.4935e+06,177340366,516,500,999742,3819721166
6.5,0.0454901,0.953979,756420,1.49188e+06,181967213,568,553,999716,3814909049
6.66667,0.0466529,0.952896,755561,1.48987e+06,186618652,508,489,999746,3810577707
6.83333,0.0477897,0.951702,754614,1.48829e+06,191165979,564,548,999718,3805802267
7,0.0489461,0.950566,753713,1.48674e+06,195791878,536,522,999732,3801256840
7.16667,0.0500949,0.949442,752822,1.48536e+06,200387404,508,492,999746,3796761896
7.33333,0.051248,0.948213,751848,1.48334e+06,204999660,574,558,999713,3791846740
7.5,0.0523934,0.947083,750952,1.4819e+06,209581476,582,567,999709,3787326008
7.66667,0.0535284,0.945919,750028,1.48076e+06,214121672,578,556,999711,3782666773
7.83333,0.0546746,0.944789,749133,1.47893e+06,218706742,624,599,999688,3778147063
8,0.0558233,0.943657,748235,1.47743e+06,223301658,598,574,999701,3773618263
8.16667,0.0569689,0.942527,747339,1.47573e+06,227884121,542,518,999729,3769098135
8.33333,0.0581135,0.941343,746400,1.47387e+06,232462907,548,530,999726,3764363342
8.5,0.0592588,0.940229,745517,1.47223e+06,237044045,542,523,999729,3759905655
8.66667,0.0604014,0.93912,744638,1.47091e+06,241614702,524,510,999738,3755470954
8.83333,0.0615462,0.937956,743715,1.46903e+06,246194141,594,577,999703,3750816917
9,0.0626857,0.936848,742836,1.46757e+06,250752493,542,524,999729,3746382600
9.16667,0.0638204,0.935666,741899,1.46595e+06,255291326,564,549,999718,3741653054
9.33333,0.0649709,0.934454,740938,1.46444e+06,259893511,586,569,999707,3736804810
9.5,0.0661104,0.933343,740057,1.46296e+06,264451572,540,527,999730,3732361927
9.66667,0.0672394,0.932265,739203,1.46151e+06,268967943,562,543,999719,3728051522
9.83333,0.0683725,0.931075,738259,1.46012e+06,273500548,598,584,999701,3723289220
10,0.0695052,0.930052,737448,1.45847e+06,278031193,532,508,999734,3719197785
10.1667,0.0706531,0.928839,736486,1.45666e+06,282622983,594,577,999703,3714345145
10.3333,0.0717971,0.927669,735558,1.45495e+06,287199182,590,566,999705,3709664445
10.5,0.0729285,0.926643,734745,1.45352e+06,291725141,512,498,999744,3705561162
10.6667,0.0740651,0.925391,733752,1.45105e+06,296271785,574,553,999713,3700553064
10.8333,0.0752015,0.924312,732896,1.44948e+06,300817620,550,533,999725,3696236215
11,0.0763322,0.923155,731979,1.44802e+06,305340467,586,568,999707,3691610098
11.1667,0.0774654,0.922067,731116,1.44597e+06,309873186,518,504,999741,3687255360
11.3333,0.0785929,0.920971,730248,1.44417e+06,314383478,522,507,999739,3682874552
11.5,0.0797248,0.91974,729271,1.44253e+06,318911443,620,603,999690,3677947875
11.6667,0.0808476,0.918689,728438,1.44121e+06,323402763,514,489,999743,3673743090
11.8333,0.0819775,0.917522,727513,1.43924e+06,327922318,570,558,999715,3669077200
12,0.0831041,0.916446,726659,1.43749e+06,332429216,538,524,999731,3664771369
12.1667,0.0842329,0.915314,725762,1.43551e+06,336944231,534,521,999733,3660245703
12.3333,0.0853495,0.914169,724854,1.4337e+06,341410941,556,535,999722,3655664306
12.5,0.0864734,0.913037,723956,1.43248e+06,345906729,544,525,999728,3651134835
12.6667,0.0875923,0.911924,723074,1.43083e+06,350382407,550,536,999725,3646684660
12.8333,0.0887194,0.910789,722174,1.42949e+06,354891190,574,554,999713,3642144164
13,0.0898392,0.909687,721300,1.42802e+06,359370618,554,542,999723,3637734640
13.1667,0.0909576,0.908571,720415,1.42601e+06,363844405,564,542,999718,3633270216
13.3333,0.0920818,0.907472,719544,1.42396e+06,368341152,520,501,999740,3628873479
13.5,0.0932102,0.906342,718648,1.4218e+06,372854994,544,520,999728,3624355222
13.6667,0.0943349,0.905148,717701,1.42011e+06,377354009,596,576,999702,3619579418
13.8333,0.0954521,0.904021,716807,1.41854e+06,381823056,578,562,999711,3615070089
14,0.0965687,0.902951,715959,1.41693e+06,386289663,590,555,999705,3610788998
14.1667,0.097691,0.901863,715096,1.41518e+06,390778898,532,511,999734,3606435885
14.3333,0.0988087,0.90069,714167,1.41331e+06,395249842,584,557,999708,3601747309
14.5,0.0999249,0.899592,713296,1.41125e+06,399714905,540,527,999730,3597353515
14.6667,0.10104,0.898497,712427,1.40938e+06,404176422,550,532,999725,3592971956
14.8333,0.102147,0.897383,711544,1.40739e+06,408603131,552,536,999724,3588516058
15,0.103257,0.896218,710621,1.40564e+06,413044649,548,532,999726,3583857856
15.1667,0.104378,0.895166,709786,1.40447e+06,417528043,546,530,999727,3579647878
15.3333,0.105493,0.894083,708927,1.40218e+06,421988048,514,501,999743,3575314946
15.5,0.106601,0.892949,708028,1.40027e+06,426419445,574,555,999713,3570780153
15.6667,0.107722,0.891807,707123,1.39852e+06,430906002,552,535,999724,3566211847
15.8333,0.108836,0.890686,706234,1.39653e+06,435360831,582,568,999709,3561726777
16,0.109946,0.889607,705378,1.39467e+06,439800606,532,520,999734,3557410992
16.1667,0.111055,0.888479,704484,1.39324e+06,444238062,520,503,999740,3552899758
16.3333,0.112164,0.887355,703593,1.39184e+06,448674547,556,537,999722,3548402260
16.5,0.113273,0.886312,702766,1.39041e+06,453108825,508,491,999746,3544230090
16.6667,0.11438,0.885182,701870,1.38864e+06,457537394,536,514,999732,3539712626
16.8333,0.115488,0.884055,700976,1.38668e+06,461968225,566,546,999717,3535203290
17,0.116587,0.882972,700118,1.38488e+06,466364099,506,485,999747,3530872067
17.1667,0.117693,0.881846,699224,1.38374e+06,470788923,550,530,999725,3526364717
17.3333,0.118801,0.880716,698329,1.38186e+06,475223582,556,540,999722,3521846804
17.5,0.119912,0.879634,697471,1.37992e+06,479668223,548,541,999726,3517520001
17.6667,0.121015,0.878524,696590,1.3783e+06,484078596,554,538,999723,3513077085
17.8333,0.122128,0.877399,695699,1.3765e+06,488530221,568,551,999716,3508580011
18,0.123227,0.876285,694815,1.3747e+06,492926439,540,526,999730,3504122547
18.1667,0.124325,0.875179,693938,1.37271e+06,497320799,598,575,999701,3499698600
18.3333,0.125424,0.874092,693076,1.37097e+06,501717066,570,547,999715,3495349529
18.5,0.126522,0.873023,692229,1.36894e+06,506106396,558,540,999721,3491074485
18.6667,0.127619,0.871911,691347,1.36701e+06,510497136,572,549,999714,3486623897
18.8333,0.128707,0.870813,690477,1.36552e+06,514849413,552,534,999724,3482234228
19,0.1298,0.869703,689596,1.36413e+06,519220037,630,610,999685,3477792900
19.1667,0.130893,0.868671,688778,1.36249e+06,523593537,542,526,999729,3473663961
19.3333,0.131993,0.867598,687927,1.36057e+06,527991171,518,494,999741,3469371586
19.5,0.133091,0.866482,687042,1.35935e+06,532384038,532,515,999734,3464908558
inf,0.13362,0.86597,686637,1.35859e+06,534501362,520,501,999740,3462862254
