kmc_run_dir,run_dir,dpn_dir,zip_path,zip_rel_path,t_start,zip_analytical,method_1_qty,method_1_window,method_2_qty,method_2_window,method_3_qty,method_3_window,method_4_qty,method_4_window,sampling_rate
kmc_runs_v1_1.1,run_0,DPN_100,kmc_runs_v1_1.1/run_0/DPN_100/zip_length.csv,kmc_runs_v1_1.1/run_0/DPN_100/zip_length.csv,1.54578e-05,0.93,0.9291260012050921,260561,0.9291218397249447,256821,0.9447112306313228,31236,2.2857142857142856,21,5136426.252875125
kmc_runs_v1_1.1,run_0,DPN_1000,kmc_runs_v1_1.1/run_0/DPN_1000/zip_length.csv,kmc_runs_v1_1.1/run_0/DPN_1000/zip_length.csv,7.66817e-06,0.93,0.9373912723886997,2612032,0.9374003107277729,2609358,0.9520781240771002,50791,4.6923076923076925,13,52187150.60321909
kmc_runs_v1_1.1,run_0,DPN_2000,kmc_runs_v1_1.1/run_0/DPN_2000/zip_length.csv,kmc_runs_v1_1.1/run_0/DPN_2000/zip_length.csv,3.94343e-06,0.93,0.9387267285134502,4813616,0.9387267285134502,5201935,0.9844191457536978,48136,10.0,3,104038690.53939107
kmc_runs_v1_1.1,run_0,DPN_4000,kmc_runs_v1_1.1/run_0/DPN_4000/zip_length.csv,kmc_runs_v1_1.1/run_0/DPN_4000/zip_length.csv,4.75222e-06,0.93,0.9432435646013765,4381741,0.9432435646013765,10302683,1.0276376748750484,43817,10.166666666666666,18,206053663.5201485
kmc_runs_v1_1.1,run_0,DPN_500,kmc_runs_v1_1.1/run_0/DPN_500/zip_length.csv,kmc_runs_v1_1.1/run_0/DPN_500/zip_length.csv,8.85823e-06,0.93,0.9334485474841981,1308867,0.9332663421349344,1304649,0.9461368653421633,52095,3.3333333333333335,24,26092978.7519141
kmc_runs_v1_1.1,run_1,DPN_100,kmc_runs_v1_1.1/run_1/DPN_100/zip_length.csv,kmc_runs_v1_1.1/run_1/DPN_100/zip_length.csv,8.27738e-06,0.93,0.9295784472535904,258046,0.9297222684975844,252114,0.9269869365296188,51977,3.0,11,5042280.237158009
kmc_runs_v1_1.1,run_1,DPN_1000,kmc_runs_v1_1.1/run_1/DPN_1000/zip_length.csv,kmc_runs_v1_1.1/run_1/DPN_1000/zip_length.csv,8.97403e-06,0.93,0.9445368102360869,2577313,0.9445502712077805,2574963,0.9765903842116314,47630,18.0,2,51499267.05429923
kmc_runs_v1_1.1,run_1,DPN_2000,kmc_runs_v1_1.1/run_1/DPN_2000/zip_length.csv,kmc_runs_v1_1.1/run_1/DPN_2000/zip_length.csv,3.65597e-06,0.93,0.9503778250141511,4294713,0.9503778250141511,5096851,1.0374647821733765,42947,8.4,20,101937018.15084122
kmc_runs_v1_1.1,run_1,DPN_4000,kmc_runs_v1_1.1/run_1/DPN_4000/zip_length.csv,kmc_runs_v1_1.1/run_1/DPN_4000/zip_length.csv,1.01083e-05,0.93,0.9611232163438861,4555881,0.9611232163438861,9966622,1.1258368269716192,45559,8.404255319148936,47,199332448.99343824
kmc_runs_v1_1.1,run_1,DPN_500,kmc_runs_v1_1.1/run_1/DPN_500/zip_length.csv,kmc_runs_v1_1.1/run_1/DPN_500/zip_length.csv,5.44268e-06,0.93,0.9394436564966063,1295207,0.939547827058672,1288622,0.9498795837688009,66021,6.222222222222222,18,25772449.58015373
kmc_runs_v1_1.1,run_10,DPN_100,kmc_runs_v1_1.1/run_10/DPN_100/zip_length.csv,kmc_runs_v1_1.1/run_10/DPN_100/zip_length.csv,0.00101303,0.88,0.8625,240,0.8452380952380952,252,0.8453378001116695,16119,1.0,2,5039.722943414529
kmc_runs_v1_1.1,run_10,DPN_1000,kmc_runs_v1_1.1/run_10/DPN_1000/zip_length.csv,kmc_runs_v1_1.1/run_10/DPN_1000/zip_length.csv,0.000255473,0.88,0.9253246753246753,2464,0.9279843444227006,2555,0.8867122964361577,16948,1.2857142857142858,7,51107.77232611685
kmc_runs_v1_1.1,run_10,DPN_2000,kmc_runs_v1_1.1/run_10/DPN_2000/zip_length.csv,kmc_runs_v1_1.1/run_10/DPN_2000/zip_length.csv,0.000634937,0.88,0.9233569261880687,4945,0.9171065493646139,5115,0.8928127656791577,15291,2.5,12,102298.1538537588
kmc_runs_v1_1.1,run_10,DPN_4000,kmc_runs_v1_1.1/run_10/DPN_4000/zip_length.csv,kmc_runs_v1_1.1/run_10/DPN_4000/zip_length.csv,0.000335666,0.88,0.9151153379198705,9884,0.9138082673702727,10233,0.8997202179355028,13582,2.4285714285714284,14,204659.54116081982
kmc_runs_v1_1.1,run_10,DPN_500,kmc_runs_v1_1.1/run_10/DPN_500/zip_length.csv,kmc_runs_v1_1.1/run_10/DPN_500/zip_length.csv,0.000486396,0.88,0.8991869918699187,1230,0.896551724137931,1276,0.8854098241004307,13701,1.3,10,25528.955690865685
kmc_runs_v1_1.1,run_11,DPN_100,kmc_runs_v1_1.1/run_11/DPN_100/zip_length.csv,kmc_runs_v1_1.1/run_11/DPN_100/zip_length.csv,0.000915819,0.95,0.8560311284046692,257,0.8721804511278195,266,0.9098607105602258,16297,1.0,2,5313.861680563857
kmc_runs_v1_1.1,run_11,DPN_1000,kmc_runs_v1_1.1/run_11/DPN_1000/zip_length.csv,kmc_runs_v1_1.1/run_11/DPN_1000/zip_length.csv,0.000240317,0.96,0.9897572078907435,2636,0.9885100074128984,2698,0.9563002516418093,16293,1.4166666666666667,12,53965.268371225844
kmc_runs_v1_1.1,run_11,DPN_2000,kmc_runs_v1_1.1/run_11/DPN_2000/zip_length.csv,kmc_runs_v1_1.1/run_11/DPN_2000/zip_length.csv,0.000319299,0.96,0.9803734756097561,5248,0.981104112634309,5398,0.9574219710002457,16276,2.5,12,107963.52250923823
kmc_runs_v1_1.1,run_11,DPN_4000,kmc_runs_v1_1.1/run_11/DPN_4000/zip_length.csv,kmc_runs_v1_1.1/run_11/DPN_4000/zip_length.csv,0.000313751,0.96,0.9817559863169898,10524,0.9798035945895868,10794,0.9665059943146707,16182,2.5625,16,215878.3520980177
kmc_runs_v1_1.1,run_11,DPN_500,kmc_runs_v1_1.1/run_11/DPN_500/zip_length.csv,kmc_runs_v1_1.1/run_11/DPN_500/zip_length.csv,0.000871235,0.96,0.969208211143695,1364,0.9717472118959107,1345,0.9580968721129735,15154,2.1,10,26897.041097247817
kmc_runs_v1_1.1,run_12,DPN_100,kmc_runs_v1_1.1/run_12/DPN_100/zip_length.csv,kmc_runs_v1_1.1/run_12/DPN_100/zip_length.csv,6.50175e-05,10.66,10.125006137379094,40734,10.2272,6875,10.113507157836043,82497,20.833333333333332,36,137494.3989923681
kmc_runs_v1_1.1,run_12,DPN_1000,kmc_runs_v1_1.1/run_12/DPN_1000/zip_length.csv,kmc_runs_v1_1.1/run_12/DPN_1000/zip_length.csv,3.95157e-05,10.69,10.779075183541293,405767,10.78439321067766,392970,10.879893690088691,66974,48.7,40,7859409.607040888
kmc_runs_v1_1.1,run_12,DPN_2000,kmc_runs_v1_1.1/run_12/DPN_2000/zip_length.csv,kmc_runs_v1_1.1/run_12/DPN_2000/zip_length.csv,2.54714e-05,10.69,10.808558408358342,809730,10.80999864825625,798968,11.018817945184505,65310,55.72222222222222,36,15979358.708619867
kmc_runs_v1_1.1,run_12,DPN_4000,kmc_runs_v1_1.1/run_12/DPN_4000/zip_length.csv,kmc_runs_v1_1.1/run_12/DPN_4000/zip_length.csv,1.68302e-05,10.69,10.867375304589984,1608720,10.866546843686592,1601251,11.323043120890238,63264,52.35820895522388,67,32025014.8682704
kmc_runs_v1_1.1,run_12,DPN_500,kmc_runs_v1_1.1/run_12/DPN_500/zip_length.csv,kmc_runs_v1_1.1/run_12/DPN_500/zip_length.csv,2.80719e-05,10.69,10.736712581435835,202767,10.736096153455387,196852,10.852642430490283,32981,43.0,26,3937045.0767614665
kmc_runs_v1_1.1,run_13,DPN_100,kmc_runs_v1_1.1/run_13/DPN_100/zip_length.csv,kmc_runs_v1_1.1/run_13/DPN_100/zip_length.csv,5.7685e-05,9.19,8.780213697838956,41554,8.80611060977182,7757,8.756620577776346,93081,15.4,30,155135.107707991
kmc_runs_v1_1.1,run_13,DPN_1000,kmc_runs_v1_1.1/run_13/DPN_1000/zip_length.csv,kmc_runs_v1_1.1/run_13/DPN_1000/zip_length.csv,1.42768e-05,9.2,9.269918941958975,415258,9.26928259968581,402941,9.296078733754854,71329,27.773333333333333,75,8058815.947821109
kmc_runs_v1_1.1,run_13,DPN_2000,kmc_runs_v1_1.1/run_13/DPN_2000/zip_length.csv,kmc_runs_v1_1.1/run_13/DPN_2000/zip_length.csv,2.01946e-05,9.2,9.287029711911858,830475,9.286863310019443,819826,9.363125056243813,66674,63.0,18,16396515.77154443
kmc_runs_v1_1.1,run_13,DPN_4000,kmc_runs_v1_1.1/run_13/DPN_4000/zip_length.csv,kmc_runs_v1_1.1/run_13/DPN_4000/zip_length.csv,1.29518e-05,9.2,9.315366453677402,1655639,9.315426711252607,1647156,9.49536791540597,64118,58.375,32,32943114.98241214
kmc_runs_v1_1.1,run_13,DPN_500,kmc_runs_v1_1.1/run_13/DPN_500/zip_length.csv,kmc_runs_v1_1.1/run_13/DPN_500/zip_length.csv,1.77183e-05,9.2,9.210857093435582,208122,9.208548584273208,202864,9.262544468914111,29515,35.714285714285715,21,4057279.8501421604
kmc_runs_v1_1.1,run_14,DPN_100,kmc_runs_v1_1.1/run_14/DPN_100/zip_length.csv,kmc_runs_v1_1.1/run_14/DPN_100/zip_length.csv,7.90319e-05,8.72,8.424376014387859,45594,8.448504983388704,8127,8.375472955652397,97525,22.620689655172413,29,162541.2807657708
kmc_runs_v1_1.1,run_14,DPN_1000,kmc_runs_v1_1.1/run_14/DPN_1000/zip_length.csv,kmc_runs_v1_1.1/run_14/DPN_1000/zip_length.csv,5.32365e-05,8.74,8.848171584217308,455613,8.846431083375519,446438,8.975938753189938,63089,56.75,32,8928765.377477977
kmc_runs_v1_1.1,run_14,DPN_2000,kmc_runs_v1_1.1/run_14/DPN_2000/zip_length.csv,kmc_runs_v1_1.1/run_14/DPN_2000/zip_length.csv,5.73754e-05,8.74,8.87973095436014,907058,8.879633486510112,900267,9.254044186007201,59159,44.405797101449274,69,18005337.61619809
kmc_runs_v1_1.1,run_14,DPN_4000,kmc_runs_v1_1.1/run_14/DPN_4000/zip_length.csv,kmc_runs_v1_1.1/run_14/DPN_4000/zip_length.csv,3.59383e-05,8.74,8.948500986832185,1790578,8.948246448891851,1787259,9.854944120035578,51718,74.17241379310344,29,35745182.94586317
kmc_runs_v1_1.1,run_14,DPN_500,kmc_runs_v1_1.1/run_14/DPN_500/zip_length.csv,kmc_runs_v1_1.1/run_14/DPN_500/zip_length.csv,9.01313e-05,8.74,8.79649056884069,228869,8.796935582234925,224643,9.015030269292325,28742,35.416666666666664,60,4492866.640061698
kmc_runs_v1_1.1,run_15,DPN_100,kmc_runs_v1_1.1/run_15/DPN_100/zip_length.csv,kmc_runs_v1_1.1/run_15/DPN_100/zip_length.csv,0.000382211,9.93,9.499091616921879,3853,9.52508650519031,1156,9.412988635544556,83242,15.277777777777779,18,23122.843993903683
kmc_runs_v1_1.1,run_15,DPN_1000,kmc_runs_v1_1.1/run_15/DPN_1000/zip_length.csv,kmc_runs_v1_1.1/run_15/DPN_1000/zip_length.csv,8.60917e-05,9.94,10.075248740312556,39097,10.07087976390373,39306,10.150579463489748,12339,28.79310344827586,29,786125.5232603558
kmc_runs_v1_1.1,run_15,DPN_2000,kmc_runs_v1_1.1/run_15/DPN_2000/zip_length.csv,kmc_runs_v1_1.1/run_15/DPN_2000/zip_length.csv,6.9837e-05,9.94,10.06602895223519,78405,10.066789480370982,78710,10.243420625121841,15389,33.64,50,1574208.4257279153
kmc_runs_v1_1.1,run_15,DPN_4000,kmc_runs_v1_1.1/run_15/DPN_4000/zip_length.csv,kmc_runs_v1_1.1/run_15/DPN_4000/zip_length.csv,8.0545e-05,9.94,10.070814417168066,155731,10.070456834669965,156862,10.244898605830166,31560,32.6530612244898,49,3137245.608603323
kmc_runs_v1_1.1,run_15,DPN_500,kmc_runs_v1_1.1/run_15/DPN_500/zip_length.csv,kmc_runs_v1_1.1/run_15/DPN_500/zip_length.csv,0.000160584,9.94,10.013734567901235,19440,10.014451758897346,19444,9.998970465221028,15541,21.583333333333332,36,388871.7356960784
kmc_runs_v1_1.1,run_16,DPN_100,kmc_runs_v1_1.1/run_16/DPN_100/zip_length.csv,kmc_runs_v1_1.1/run_16/DPN_100/zip_length.csv,0.000177062,10.68,10.174006189002618,4201,10.176840215439857,1114,9.990984138068635,80192,12.117647058823529,51,22275.544289312285
kmc_runs_v1_1.1,run_16,DPN_1000,kmc_runs_v1_1.1/run_16/DPN_1000/zip_length.csv,kmc_runs_v1_1.1/run_16/DPN_1000/zip_length.csv,0.000110089,10.68,10.716131422352914,43189,10.715439960882017,42947,10.806763908609785,15494,24.609756097560975,41,858940.8399142564
kmc_runs_v1_1.1,run_16,DPN_2000,kmc_runs_v1_1.1/run_16/DPN_2000/zip_length.csv,kmc_runs_v1_1.1/run_16/DPN_2000/zip_length.csv,7.61382e-05,10.68,10.714471077539766,86317,10.714721047448004,86305,10.859538342805024,14253,34.411764705882355,17,1726104.6793282365
kmc_runs_v1_1.1,run_16,DPN_4000,kmc_runs_v1_1.1/run_16/DPN_4000/zip_length.csv,kmc_runs_v1_1.1/run_16/DPN_4000/zip_length.csv,3.63952e-05,10.68,10.78877738022515,171885,10.78738626868443,172336,10.921625251846876,29780,35.45161290322581,31,3446719.686184382
kmc_runs_v1_1.1,run_16,DPN_500,kmc_runs_v1_1.1/run_16/DPN_500/zip_length.csv,kmc_runs_v1_1.1/run_16/DPN_500/zip_length.csv,0.0001035,10.68,10.666099042709867,21728,10.684425268489425,21323,10.681957399415285,14366,20.59090909090909,22,426457.71704440156
kmc_runs_v1_1.1,run_17,DPN_100,kmc_runs_v1_1.1/run_17/DPN_100/zip_length.csv,kmc_runs_v1_1.1/run_17/DPN_100/zip_length.csv,0.00018008,9.5,9.000410509031198,4872,8.979658258746948,1229,8.99613506916192,88488,16.125,8,24580.08890686477
kmc_runs_v1_1.1,run_17,DPN_1000,kmc_runs_v1_1.1/run_17/DPN_1000/zip_length.csv,kmc_runs_v1_1.1/run_17/DPN_1000/zip_length.csv,0.000120644,9.5,9.5365568696579,48787,9.544593007684542,48539,9.659319196428571,14336,23.61904761904762,42,970785.197826053
kmc_runs_v1_1.1,run_17,DPN_2000,kmc_runs_v1_1.1/run_17/DPN_2000/zip_length.csv,kmc_runs_v1_1.1/run_17/DPN_2000/zip_length.csv,7.88095e-05,9.5,9.566602485559251,97121,9.565958888637903,97394,9.771018166455429,14202,22.614035087719298,57,1947878.8674587298
kmc_runs_v1_1.1,run_17,DPN_4000,kmc_runs_v1_1.1/run_17/DPN_4000/zip_length.csv,kmc_runs_v1_1.1/run_17/DPN_4000/zip_length.csv,6.24932e-05,9.51,9.606045926781002,194048,9.605076711089174,194496,9.757685717165609,29763,31.51219512195122,41,3889927.0831993106
kmc_runs_v1_1.1,run_17,DPN_500,kmc_runs_v1_1.1/run_17/DPN_500/zip_length.csv,kmc_runs_v1_1.1/run_17/DPN_500/zip_length.csv,0.000111475,9.5,9.511180149613702,24463,9.512040452604966,24127,9.555857172687409,14367,17.894736842105264,38,482538.4768505127
kmc_runs_v1_1.1,run_18,DPN_100,kmc_runs_v1_1.1/run_18/DPN_100/zip_length.csv,kmc_runs_v1_1.1/run_18/DPN_100/zip_length.csv,0.00430111,10.63,11.662857142857144,350,13.20754716981132,106,10.028877887788779,79992,14.660377358490566,53,2116.1923978572127
kmc_runs_v1_1.1,run_18,DPN_1000,kmc_runs_v1_1.1/run_18/DPN_1000/zip_length.csv,kmc_runs_v1_1.1/run_18/DPN_1000/zip_length.csv,0.00161908,10.63,11.088569056185994,3613,10.991019417475728,4120,10.773370717363058,14623,31.3125,32,82398.24038758251
kmc_runs_v1_1.1,run_18,DPN_2000,kmc_runs_v1_1.1/run_18/DPN_2000/zip_length.csv,kmc_runs_v1_1.1/run_18/DPN_2000/zip_length.csv,0.000794164,10.63,11.307156067719449,7029,11.252574197456088,8255,11.0606249610179,16033,37.61290322580645,31,165092.63563416983
kmc_runs_v1_1.1,run_18,DPN_4000,kmc_runs_v1_1.1/run_18/DPN_4000/zip_length.csv,kmc_runs_v1_1.1/run_18/DPN_4000/zip_length.csv,0.000802405,10.63,11.369198312236287,14220,11.343528556719763,16511,11.356646920186,15699,33.602739726027394,73,330222.9614035334
kmc_runs_v1_1.1,run_18,DPN_500,kmc_runs_v1_1.1/run_18/DPN_500/zip_length.csv,kmc_runs_v1_1.1/run_18/DPN_500/zip_length.csv,0.00266345,10.63,11.2146829810901,1798,11.06158357771261,2046,10.682233146067416,14240,25.525,40,40922.528595080075
