,Version,Run,Directory,x0,Avg Diff (theory - actual),Avg Abs Diff,x0 / theory,actual / theory,actual (DPn=x0) / theory,N rows,N rows (DPn=x0),Error,Dispersity
35,kmc_runs_v3_1.1,run_104,DPN_100,100.0,233.8909225104409,233.8909225104409,0.3607187967576458,0.1563114785949798,0.1563114785949798,3.0,3.0,,1.1
36,kmc_runs_v3_1.1,run_104,DPN_1000,1000.0,,,,,,0.0,0.0,,1.1
37,kmc_runs_v3_1.1,run_104,DPN_2000,2000.0,,,,,,0.0,0.0,,1.1
38,kmc_runs_v3_1.1,run_104,DPN_4000,4000.0,,,,,,0.0,0.0,,1.1
39,kmc_runs_v3_1.1,run_104,DPN_500,500.0,536.4536005307532,536.4536005307532,0.8071629571151022,0.1339890508811069,,1.0,0.0,,1.1
40,kmc_runs_v3_1.1,run_105,DPN_100,100.0,100.43232054238696,104.45749211916052,0.6762957040823856,0.3207805306615858,0.3724687466949132,40834.0,1216.0,,1.1
41,kmc_runs_v3_1.1,run_105,DPN_1000,1000.0,262.93544503535253,314.8252707087142,2.043115102261386,0.4627926213284527,0.5422901912623965,41390.0,267.0,,1.1
42,kmc_runs_v3_1.1,run_105,DPN_2000,2000.0,370.54811173344734,448.4652820183392,2.860258306025209,0.4700683428162249,0.5023550845164163,41286.0,177.0,,1.1
43,kmc_runs_v3_1.1,run_105,DPN_4000,4000.0,522.6486436706523,637.5585323133226,4.01527830840734,0.475355059537678,0.5435214560870456,41306.0,150.0,,1.1
44,kmc_runs_v3_1.1,run_105,DPN_500,500.0,193.42920838225277,223.11151406536777,1.463201719608591,0.4339480993451186,0.457521432406378,41365.0,397.0,,1.1
45,kmc_runs_v3_1.1,run_106,DPN_100,100.0,,,,,,0.0,0.0,,1.1
46,kmc_runs_v3_1.1,run_106,DPN_1000,1000.0,,,,,,0.0,0.0,,1.1
47,kmc_runs_v3_1.1,run_106,DPN_2000,2000.0,,,,,,0.0,0.0,,1.1
48,kmc_runs_v3_1.1,run_106,DPN_4000,4000.0,,,,,,0.0,0.0,,1.1
49,kmc_runs_v3_1.1,run_106,DPN_500,500.0,,,,,,0.0,0.0,,1.1
50,kmc_runs_v3_1.1,run_107,DPN_100,100.0,421.6826290614012,422.08737635582247,0.199328531966792,0.1594662059329356,0.1857599540407668,1769.0,280.0,,1.1
51,kmc_runs_v3_1.1,run_107,DPN_1000,1000.0,1003.4697563833432,1111.0792475561527,0.629713213405465,0.3681018351526458,,1608.0,0.0,,1.1
52,kmc_runs_v3_1.1,run_107,DPN_2000,2000.0,1264.7215337946982,1491.727242057548,0.8903246061606619,0.4369936492606636,,1495.0,0.0,,1.1
53,kmc_runs_v3_1.1,run_107,DPN_4000,4000.0,1546.4129350090045,2008.95565330941,1.2592459974845138,0.5131714252829082,,1383.0,0.0,,1.1
54,kmc_runs_v3_1.1,run_107,DPN_500,500.0,771.9302768497502,805.0844084336442,0.4454265356925365,0.3123235419732703,,1680.0,0.0,,1.1
55,kmc_runs_v3_1.1,run_108,DPN_100,100.0,4.962993807891753,5.116485656929838,14.414473136033044,0.2846105908184599,4.8368565412021995,1982637.0,9.0,,1.1
56,kmc_runs_v3_1.1,run_108,DPN_1000,1000.0,17.725422908446046,18.378870909676305,43.309725207090665,0.2323168046557319,,2142258.0,0.0,,1.1
57,kmc_runs_v3_1.1,run_108,DPN_2000,2000.0,7.779894076035927,21.04088604349012,61.81013653682323,0.7595618424590986,,123262.0,0.0,,1.1
58,kmc_runs_v3_1.1,run_108,DPN_4000,4000.0,28.35553691403242,30.85627020752427,100.35257089985326,0.2886122428577888,,2294919.0,0.0,,1.1
59,kmc_runs_v3_1.1,run_108,DPN_500,500.0,8.815606278935885,11.372096202988924,27.92444931309056,0.507658098599384,,276851.0,0.0,,1.1
60,kmc_runs_v3_1.1,run_109,DPN_100,100.0,1069.9962643016931,1069.9962643016931,0.0861011379502001,0.0787210404116115,0.0873036838435712,700.0,300.0,,1.1
61,kmc_runs_v3_1.1,run_109,DPN_1000,1000.0,2917.587417142163,2925.090359138737,0.2721914722146064,0.2058575856132637,,660.0,0.0,,1.1
62,kmc_runs_v3_1.1,run_109,DPN_2000,2000.0,3785.9523493277234,3926.874979192878,0.3848710240825619,0.2714483210932291,,635.0,0.0,,1.1
63,kmc_runs_v3_1.1,run_109,DPN_4000,4000.0,4795.50470705902,5057.859036214546,0.5442554410786624,0.3475051176161978,,618.0,0.0,,1.1
64,kmc_runs_v3_1.1,run_109,DPN_500,500.0,2179.478958050084,2179.478958050084,0.1924909723948974,0.1609399521014428,,682.0,0.0,,1.1
65,kmc_runs_v3_1.1,run_11,DPN_100,100.0,-0.1175329391525324,0.1291237380508897,99.6002889692662,1.117063147029994,2.61992064462635,469468.0,46.0,,1.1
66,kmc_runs_v3_1.1,run_11,DPN_1000,1000.0,1.8681690415346015,1.9585024108704745,316.8647398957832,0.4080431025727839,,1504860.0,0.0,,1.1
67,kmc_runs_v3_1.1,run_11,DPN_2000,2000.0,2.906567158618232,3.025080486020454,451.67129200000625,0.343593528091058,,1406253.0,0.0,,1.1
