kmc_run_dir,run_dir,dpn_dir,zip_path,zip_rel_path,t_start,zip_analytical,method_1_qty,method_1_window,method_2_qty,method_2_window,method_3_qty,method_3_window,method_4_qty,method_4_window,sampling_rate
kmc_runs_v2_1.1,run_77,DPN_2000,kmc_runs_v2_1.1/run_77/DPN_2000/zip_length.csv,kmc_runs_v2_1.1/run_77/DPN_2000/zip_length.csv,3.46803e-05,28577.24,2003.5672909253485,762718,24235.811881188118,808,2344.964297540564,132876,23256.631517960603,863,16155.796408234566
kmc_runs_v2_1.1,run_77,DPN_4000,kmc_runs_v2_1.1/run_77/DPN_4000/zip_length.csv,kmc_runs_v2_1.1/run_77/DPN_4000/zip_length.csv,7.89435e-06,28578.04,4367.000948645444,274075,4367.000948645444,2221153,31180.10142283838,2741,29826.779081461616,2983,44423062.73608641
kmc_runs_v2_1.1,run_77,DPN_500,kmc_runs_v2_1.1/run_77/DPN_500/zip_length.csv,kmc_runs_v2_1.1/run_77/DPN_500/zip_length.csv,2.78939e-05,28572.19,538.5563363754458,302531,2812.595,800,553.435212944501,139426,2424.134445534838,1019,16002.553090379646
kmc_runs_v2_1.1,run_78,DPN_100,kmc_runs_v2_1.1/run_78/DPN_100/zip_length.csv,kmc_runs_v2_1.1/run_78/DPN_100/zip_length.csv,0.000512651,30497.64,111.98319327731092,119,108.6,15,107.93634052170637,10619,108.15,20,294.98470850348497
kmc_runs_v2_1.1,run_78,DPN_1000,kmc_runs_v2_1.1/run_78/DPN_1000/zip_length.csv,kmc_runs_v2_1.1/run_78/DPN_1000/zip_length.csv,0.000801467,30535.01,1100.1196581196582,1053,1105.021164021164,756,1084.5848629050533,4413,1182.931623931624,234,15125.708132312839
kmc_runs_v2_1.1,run_78,DPN_2000,kmc_runs_v2_1.1/run_78/DPN_2000/zip_length.csv,kmc_runs_v2_1.1/run_78/DPN_2000/zip_length.csv,0.00078382,30537.09,2144.3958120531156,1958,2171.3522580645163,1550,2115.2978672985782,4220,2419.656626506024,332,30996.356874275312
kmc_runs_v2_1.1,run_78,DPN_4000,kmc_runs_v2_1.1/run_78/DPN_4000/zip_length.csv,kmc_runs_v2_1.1/run_78/DPN_4000/zip_length.csv,0.000478754,30538.12,4115.114819427148,4015,4108.64782964783,3663,4201.630025445293,1965,5047.126811594203,276,73254.8220374364
kmc_runs_v2_1.1,run_78,DPN_500,kmc_runs_v2_1.1/run_78/DPN_500/zip_length.csv,kmc_runs_v2_1.1/run_78/DPN_500/zip_length.csv,0.00150819,30530.87,543.6617954070981,479,1388.5,8,542.4470255443168,11666,561.74,150,162.0342957194313
kmc_runs_v2_1.1,run_79,DPN_100,kmc_runs_v2_1.1/run_79/DPN_100/zip_length.csv,kmc_runs_v2_1.1/run_79/DPN_100/zip_length.csv,0.00385614,51178.97,125.28851540616246,357,345.94444444444446,18,108.47029624960605,12692,156.13675213675214,117,352.5528776370149
kmc_runs_v2_1.1,run_79,DPN_1000,kmc_runs_v2_1.1/run_79/DPN_1000/zip_length.csv,kmc_runs_v2_1.1/run_79/DPN_1000/zip_length.csv,0.000613475,51224.05,1272.5920620710235,3351,21074.18181818182,11,1121.4700632911392,15800,3746.942408376963,191,219.44185125563922
