Time (min),Monomer Conversion,Polymer Wt Fraction,Mn (g/mol),Mw (g/mol),# Monomers,# Radical Chains RR,# Radical Chains BS,# Intact Chains,# Bonds
2.4245e-06,0,0.999996,396468,776711,0,4,4,999998,1998991550
0.166667,0.00115067,0.998575,395905,775586,2301522,292,282,999854,1996148932
0.333333,0.00229399,0.997422,395448,774707,4588333,286,269,999857,1993843309
0.5,0.00344165,0.99627,394991,773815,6883827,312,296,999844,1991538618
0.666667,0.00458696,0.995155,394549,773061,9174611,286,270,999857,1989307967
0.833333,0.00574196,0.994019,394099,772224,11484795,274,261,999863,1987036909
1,0.00688622,0.992839,393631,771425,13773490,300,282,999850,1984677540
1.16667,0.00802709,0.99175,393199,770688,16055394,264,254,999868,1982498031
1.33333,0.0091713,0.990565,392729,769682,18343985,268,257,999866,1980127216
1.5,0.0103143,0.989441,392283,768964,20630198,276,261,999862,1977879177
1.66667,0.0114616,0.988285,391825,768195,22924874,282,270,999859,1975567090
1.83333,0.0125944,0.987182,391388,767440,25190632,248,236,999876,1973361911
2,0.0137477,0.98596,390904,766647,27497560,306,293,999847,1970918466
2.16667,0.0149017,0.984867,390470,766036,29805724,288,270,999856,1968730704
2.33333,0.0160394,0.983671,389996,765271,32081200,320,306,999840,1966339056
2.5,0.0171689,0.982551,389552,764375,34340392,308,290,999846,1964098497
2.66667,0.0183037,0.981462,389120,763644,36610119,278,262,999861,1961921477
2.83333,0.0194438,0.980281,388652,762835,38890489,290,273,999855,1959559029
3,0.0205939,0.979143,388201,761946,41190841,286,269,999857,1957282566
3.16667,0.0217259,0.978,387748,761138,43455184,286,273,999857,1954996995
3.33333,0.0228471,0.976908,387315,760384,45697556,274,256,999863,1952811527
3.5,0.0239668,0.975761,386860,759509,47937176,296,276,999852,1950518199
3.66667,0.025092,0.974612,386404,758584,50187786,302,282,999849,1948219617
3.83333,0.0262292,0.973481,385956,757842,52462354,306,291,999847,1945957355
4,0.0273505,0.972393,385525,757097,54705129,298,280,999851,1943781359
4.16667,0.0284865,0.971281,385084,756345,56977377,254,238,999873,1941556793
4.33333,0.0296155,0.970107,384618,755447,59235422,284,267,999858,1939209275
4.5,0.0307387,0.969034,384193,754677,61482039,270,254,999865,1937061981
4.66667,0.0318583,0.96788,383735,753947,63721349,292,271,999854,1934755041
4.83333,0.0329815,0.966741,383284,753181,65968077,288,268,999856,1932475893
5,0.0341005,0.965649,382851,752275,68206186,300,284,999850,1930292926
5.16667,0.0352333,0.96453,382407,751343,70471868,296,279,999852,1928053989
5.33333,0.0363404,0.963384,381953,750362,72686374,306,286,999847,1925762742
5.5,0.0374684,0.962284,381517,749636,74942441,274,256,999863,1923562614
5.66667,0.0385894,0.96117,381075,748743,77184621,292,270,999854,1921334173
5.83333,0.0397206,0.960033,380624,747919,79447303,270,257,999865,1919059594
6,0.0408342,0.958873,380165,747049,81674663,326,313,999837,1916740386
6.16667,0.0419509,0.957806,379741,746323,83908227,252,242,999874,1914605186
6.33333,0.0430712,0.956683,379296,745473,86148858,276,261,999862,1912358129
6.5,0.0441842,0.955596,378865,744847,88375088,268,243,999866,1910185697
6.66667,0.0453047,0.954446,378409,743894,90616220,300,280,999850,1907884132
6.83333,0.046431,0.95331,377959,743074,92869009,290,279,999855,1905612665
7,0.047542,0.952199,377518,742126,95091241,304,288,999848,1903390738
7.16667,0.0486626,0.951109,377086,741475,97332479,276,263,999862,1901211051
7.33333,0.0497791,0.949975,376637,740651,99565649,296,275,999852,1898942412
7.5,0.0508969,0.948858,376194,739929,101801527,276,260,999862,1896707593
7.66667,0.0520065,0.94777,375762,739298,104020887,274,259,999863,1894532093
7.83333,0.0531234,0.946641,375315,738528,106254850,282,266,999859,1892273968
8,0.0542476,0.945482,374855,737671,108503332,308,288,999846,1889954809
8.16667,0.0553645,0.944391,374423,736947,110737316,298,280,999851,1887774181
8.33333,0.0564805,0.943292,373987,735981,112969582,278,259,999861,1885574129
8.5,0.0575856,0.942136,373529,735251,115179936,308,296,999846,1883262259
8.66667,0.0587079,0.941034,373092,734384,117424619,274,260,999863,1881059187
8.83333,0.0598318,0.939887,372637,733547,119672717,298,288,999851,1878763727
9,0.0609415,0.938833,372219,732946,121892172,276,252,999862,1876656435
9.16667,0.0620374,0.937701,371770,732194,124084111,302,289,999849,1874391603
9.33333,0.0631459,0.936614,371340,731257,126301394,276,262,999862,1872219023
9.5,0.0642687,0.935429,370869,730465,128547081,292,283,999854,1869847278
9.66667,0.0653781,0.934413,370467,729845,130766113,258,241,999871,1867814783
9.83333,0.0664731,0.933269,370013,729039,132956184,276,258,999862,1865528546
10,0.0675782,0.932181,369582,728524,135166535,272,257,999864,1863352255
10.1667,0.0686778,0.931045,369132,727523,137366002,298,288,999851,1861079986
10.3333,0.0697848,0.929998,368716,726739,139580145,260,242,999870,1858984227
10.5,0.0708794,0.928854,368263,725995,141769495,286,269,999857,1856696290
10.6667,0.0719904,0.927772,367834,725187,143991668,258,245,999871,1854532455
10.8333,0.0730798,0.926663,367394,724346,146170614,294,281,999853,1852314183
11,0.0741821,0.925576,366963,723592,148375450,272,252,999864,1850139421
11.1667,0.0752764,0.924496,366535,722828,150564224,258,242,999871,1847979365
11.3333,0.0763648,0.923385,366095,722085,152741228,296,282,999852,1845758763
11.5,0.0774718,0.922306,365667,721338,154955318,270,254,999865,1843600814
11.6667,0.0785643,0.921206,365231,720552,157140552,280,264,999860,1841399988
11.8333,0.0796556,0.92011,364796,719805,159323240,290,270,999855,1839208398
12,0.0807441,0.91899,364352,718860,161500482,278,265,999861,1836968266
12.1667,0.0818297,0.917948,363939,718295,163671686,256,239,999872,1834882819
12.3333,0.0829228,0.916818,363491,717629,165858225,300,274,999850,1832623116
12.5,0.0840095,0.915757,363070,716992,168031782,292,274,999854,1830501461
12.6667,0.0850905,0.914703,362652,716320,170193789,268,244,999866,1828393452
12.8333,0.0861842,0.91357,362203,715486,172381371,284,266,999858,1826126171
13,0.0872581,0.912499,361778,714623,174529389,264,243,999868,1823984034
13.1667,0.08834,0.911413,361348,713643,176693262,286,268,999857,1821812280
13.3333,0.0894307,0.910317,360914,712864,178874899,304,284,999848,1819621004
13.5,0.0905233,0.909222,360479,712042,181060245,290,267,999855,1817429023
13.6667,0.0916331,0.908124,360044,711233,183280035,270,255,999865,1815233776
13.8333,0.0927211,0.907068,359625,710589,185456260,260,241,999870,1813121880
14,0.0938081,0.905962,359187,709783,187630333,280,258,999860,1810908703
14.1667,0.0949073,0.904867,358753,709010,189828979,264,253,999868,1808719369
14.3333,0.0959926,0.903814,358335,708105,191999809,266,240,999867,1806612718
14.5,0.0970859,0.902697,357892,707130,194186560,252,236,999874,1804379598
14.6667,0.0981755,0.901566,357444,706278,196365923,268,253,999866,1802116723
14.8333,0.0992565,0.900499,357021,705382,198527972,300,280,999850,1799983339
15,0.100341,0.899406,356587,704622,200698035,312,292,999844,1797796053
15.1667,0.10143,0.898337,356164,703792,202874876,276,259,999862,1795657863
15.3333,0.102511,0.897244,355730,703047,205038340,290,270,999855,1793471361
15.5,0.103591,0.896203,355318,702356,207197910,252,234,999874,1791389649
15.6667,0.104678,0.895088,354876,701602,209371697,278,263,999861,1789160640
15.8333,0.105752,0.894009,354448,700666,211519621,272,252,999864,1787001774
16,0.106816,0.892928,354019,699652,213648772,272,255,999864,1784839584
16.1667,0.107889,0.891861,353596,698843,215793615,310,287,999845,1782705875
16.3333,0.108961,0.89082,353183,697964,217939378,276,257,999862,1780623696
16.5,0.11002,0.889749,352759,697143,220057386,298,275,999851,1778481567
16.6667,0.111097,0.888661,352327,696261,222211204,282,273,999859,1776304618
16.8333,0.112166,0.887628,351918,695440,224349587,276,257,999862,1774237849
17,0.113232,0.886545,351489,694588,226480545,278,259,999861,1772072716
17.1667,0.11431,0.885439,351050,693721,228636740,282,268,999859,1769859877
17.3333,0.11538,0.884394,350636,693088,230777773,272,257,999864,1767770403
17.5,0.11646,0.883299,350202,692502,232937839,286,265,999857,1765580454
17.6667,0.117522,0.882242,349783,691620,235062287,264,251,999868,1763466361
17.8333,0.118584,0.881211,349374,691010,237185762,264,244,999868,1761404371
18,0.119645,0.880125,348943,690314,239309015,274,251,999863,1759231064
18.1667,0.120697,0.879064,348522,689569,241412460,292,270,999854,1757108703
18.3333,0.121765,0.878027,348111,688854,243549158,246,233,999877,1755034762
18.5,0.122814,0.876974,347694,688131,245647110,264,247,999868,1752929319
18.6667,0.123862,0.875909,347271,687389,247743120,272,250,999864,1750797882
18.8333,0.124922,0.874832,346845,686526,249863819,296,272,999852,1748644664
19,0.125981,0.873775,346426,685698,251981639,296,281,999852,1746530522
19.1667,0.127033,0.872761,346024,685093,254085824,272,250,999864,1744502889
19.3333,0.128096,0.871676,345594,684270,256210576,284,274,999858,1742333041
19.5,0.129154,0.870593,345164,683488,258328501,306,286,999847,1740166922
19.6667,0.130205,0.869575,344761,682455,260428937,242,218,999879,1738130579
19.8333,0.131264,0.868506,344337,681584,262547153,298,285,999851,1735992500
20,0.132319,0.867434,343912,680931,264657469,292,277,999854,1733848077
20.1667,0.13336,0.866406,343504,680251,266739767,284,264,999858,1731792335
20.3333,0.134395,0.865391,343102,679445,268810814,260,239,999870,1729761838
20.5,0.135447,0.864329,342680,678725,270913578,296,281,999852,1727636668
20.6667,0.136495,0.863262,342258,678077,273011258,292,273,999854,1725503385
20.8333,0.137544,0.862234,341850,677314,275109033,272,253,999864,1723446335
21,0.138598,0.861176,341430,676504,277216300,268,249,999866,1721329669
21.1667,0.139655,0.860113,341009,675677,279330412,268,251,999866,1719204724
21.3333,0.140695,0.859053,340589,674920,281410374,276,263,999862,1717085031
21.5,0.141738,0.858038,340186,674250,283496864,272,258,999864,1715054083
21.6667,0.142793,0.857003,339776,673621,285608503,282,261,999859,1712983643
21.8333,0.143862,0.855927,339349,672793,287745279,270,253,999865,1710830869
22,0.14491,0.854848,338922,671980,289841758,296,277,999852,1708673655
22.1667,0.145957,0.853829,338518,670923,291935073,270,258,999865,1706635212
22.3333,0.146982,0.852831,338122,670123,293987091,248,231,999876,1704639408
22.5,0.148022,0.851772,337702,669451,296067048,270,254,999865,1702521128
22.6667,0.149073,0.850744,337294,668553,298167585,268,252,999866,1700464219
22.8333,0.150103,0.849694,336878,667760,300229266,264,244,999868,1698365274
23,0.151151,0.848616,336451,666863,302325120,312,294,999844,1696209552
23.1667,0.152178,0.847634,336061,665985,304378476,252,227,999874,1694243909
23.3333,0.153224,0.846566,335638,665094,306471721,262,244,999869,1692108511
23.5,0.154265,0.845534,335229,664348,308553677,250,238,999875,1690043394
23.6667,0.155316,0.844429,334791,663726,310656089,320,302,999840,1687834281
23.8333,0.156361,0.843412,334388,663086,312745437,280,259,999860,1685799823
24,0.157409,0.842358,333970,662272,314840941,280,259,999860,1683691207
24.1667,0.158448,0.841328,333561,661518,316919003,264,251,999868,1681632243
24.3333,0.159486,0.840316,333160,660846,318996083,268,252,999866,1679607078
24.5,0.160521,0.839276,332748,660089,321066492,278,258,999861,1677527341
24.6667,0.161567,0.83824,332337,659314,323157642,246,233,999877,1675456003
24.8333,0.162604,0.837209,331928,658542,325232458,268,255,999866,1673392993
25,0.163622,0.836163,331514,657882,327269086,272,249,999864,1671301134
25.1667,0.164652,0.835128,331103,657149,329328972,272,246,999864,1669229769
25.3333,0.165683,0.834119,330703,656490,331391568,272,253,999864,1667213454
25.5,0.166704,0.833089,330295,655633,333433992,266,258,999867,1665151996
25.6667,0.167732,0.832073,329892,654868,335488400,264,249,999868,1663120306
25.8333,0.168748,0.831048,329486,654141,337521812,266,250,999867,1661070690
26,0.16978,0.830044,329087,653401,339585707,244,222,999878,1659061690
26.1667,0.1708,0.829002,328675,652553,341624906,242,223,999879,1656978461
26.3333,0.171824,0.827963,328263,651873,343673910,278,257,999861,1654900144
26.5,0.17285,0.82698,327873,650970,345726481,246,234,999877,1652933177
26.6667,0.173872,0.825935,327458,650226,347769467,262,241,999869,1650843526
26.8333,0.174887,0.824924,327058,649349,349801285,270,253,999865,1648821281
27,0.175921,0.823872,326641,648578,351868000,282,262,999859,1646717224
