chain_weight_g_mol
41458.1
446223
652570
150281
37295.4
79714.5
746923
319362
568129
488642
860107
175257
624.74
802821
50774.4
282494
53747.7
250382
980823
197259
354844
231155
299144
307469
935232
338193
1.34158e+06
420851
133829
209549
133234
88039.8
788153
279124
126098
1.10867e+06
743950
2.00503e+06
686268
203800
285467
551082
322930
138586
1.59649e+06
331256
167526
29564.9
418076
1.34812e+06
405786
48395.8
1.07537e+06
121737
198845
2.6092e+06
84273.6
66433.8
1.09559e+06
338590
1.04326e+06
381405
39079.4
134820
1.01452e+06
1.71602e+06
268618
93788.1
238885
173671
324516
832951
1.97648e+06
835527
1.96003e+06
58901.4
95175.7
125107
680916
311235
143145
10139.3
326697
9544.64
1.37607e+06
199638
1.07478e+06
418671
349294
1.30967e+06
1.40997e+06
327291
269609
117971
970912
379621
206575
79119.9
89823.7
55928.1
1.84526e+06
53945.9
191709
26591.6
25402.2
407570
967542
2.12554e+06
181005
1.69897e+06
481705
271988
477938
2.80861e+06
405985
1.0952e+06
686070
1.4064e+06
3.211e+06
65244.5
285269
1.117e+06
37691.9
57117.4
55928.1
478533
510645
2.76064e+06
371693
447413
987364
222829
696575
1.25357e+06
1.54436e+06
436114
116782
845835
1.27994e+06
155435
1.3618e+06
661688
599646
33925.7
617882
67028.4
350285
310244
553857
307866
25996.9
312227
254941
429771
874180
891624
487057
124710
1.2395e+06
1.32791e+06
383586
520159
523331
40467
718181
150876
157219
2.50632e+06
895786
1.62662e+06
177437
800442
280710
646227
107267
1.54694e+06
581409
399840
1.58539e+06
32934.6
1.06586e+06
959613
89229.1
1.01432e+06
295378
594095
41458.1
112223
764168
136802
1.29044e+06
571300
2.51505e+06
664067
167526
55928.1
124314
687655
577445
1.02285e+06
361583
414310
1.01234e+06
640677
382198
141559
379621
21437.8
717388
260689
207765
151074
745734
113214
138982
864468
830770
488841
997870
1.21849e+06
1.63475e+06
414905
428384
548703
1.11581e+06
374864
345726
314605
202413
1.33009e+06
124314
71389.3
171490
589536
437502
812137
644840
9346.42
239083
231353
323922
1.16398e+06
137595
825815
671599
1.4179e+06
528286
4.48377e+06
225406
555641
1.43157e+06
150677
696179
358610
2.46529e+06
280313
760600
845835
27780.9
557425
872198
387352
487057
369512
493994
59694.3
427194
1.96122e+06
498950
139973
510050
588149
345131
209747
509257
1.52216e+06
762384
1.0163e+06
519763
1.72395e+06
33529.3
483489
270997
