Time (min),Monomer Conversion,Polymer Wt Fraction,Mn (g/mol),Mw (g/mol),# Monomers,# Radical Chains RR,# Radical Chains BS,# Intact Chains,# Bonds
5.73785e-06,0,0.999998,594689,1.1655e+06,0,4,4,999998,2998992699
0.166667,0.00116996,0.998426,593754,1.16407e+06,3510053,434,423,999783,2994278766
0.333333,0.00233512,0.997242,593050,1.16302e+06,7005707,460,449,999770,2990726506
0.5,0.0035097,0.996103,592373,1.16165e+06,10529637,408,386,999796,2987309882
0.666667,0.00467135,0.994913,591665,1.16036e+06,14014767,438,426,999781,2983738031
0.833333,0.00584726,0.993777,590990,1.15952e+06,17542681,434,408,999783,2980331202
1,0.00702143,0.992536,590251,1.15846e+06,21065344,474,455,999763,2976607971
1.16667,0.00817924,0.991448,589604,1.15705e+06,24538972,406,388,999797,2973342706
1.33333,0.00934114,0.990278,588908,1.15542e+06,28024830,434,418,999783,2969832686
1.5,0.0105084,0.989106,588212,1.15443e+06,31526892,446,427,999777,2966317084
1.66667,0.0116658,0.987934,587514,1.15339e+06,34999099,418,393,999791,2962800072
1.83333,0.0128395,0.986726,586796,1.15236e+06,38520512,440,427,999780,2959174863
2,0.0140037,0.985612,586134,1.15129e+06,42013358,418,406,999791,2955834335
2.16667,0.0151688,0.98442,585425,1.14994e+06,45508655,444,421,999778,2952256610
2.33333,0.0163329,0.983271,584741,1.14883e+06,49001142,410,395,999795,2948810167
2.5,0.0174965,0.982084,584036,1.14752e+06,52492073,466,453,999767,2945250719
2.66667,0.0186433,0.980982,583380,1.14628e+06,55932689,436,417,999782,2941943859
2.83333,0.0197922,0.97979,582671,1.14506e+06,59379630,460,442,999770,2938366305
3,0.0209464,0.978676,582009,1.14377e+06,62842473,426,399,999787,2935024950
3.16667,0.0221098,0.9775,581310,1.14284e+06,66332856,428,413,999786,2931496929
3.33333,0.0232482,0.976352,580627,1.14147e+06,69748189,410,391,999795,2928051566
3.5,0.0243996,0.975205,579944,1.13993e+06,73202442,426,404,999787,2924609964
3.66667,0.0255488,0.974113,579295,1.13876e+06,76650350,404,386,999798,2921334656
3.83333,0.0267019,0.972885,578565,1.13727e+06,80109777,432,422,999784,2917652089
4,0.0278463,0.971751,577891,1.13622e+06,83543155,434,412,999783,2914250412
4.16667,0.0289977,0.970587,577199,1.13476e+06,86997369,434,419,999783,2910757748
4.33333,0.0301541,0.969442,576517,1.13366e+06,90466891,450,432,999775,2907320777
4.5,0.0313029,0.968333,575858,1.13214e+06,93913539,406,390,999797,2903994487
4.66667,0.0324495,0.967133,575144,1.13096e+06,97353452,450,437,999775,2900392896
4.83333,0.0335998,0.965995,574468,1.12969e+06,100804545,440,421,999780,2896979982
5,0.0347564,0.964837,573779,1.12849e+06,104274355,434,422,999783,2893506254
5.16667,0.0359058,0.963703,573104,1.12711e+06,107722785,420,402,999790,2890102563
5.33333,0.0370575,0.96253,572407,1.12577e+06,111178139,436,420,999782,2886584474
5.5,0.0382175,0.961324,571690,1.12444e+06,114658273,444,428,999778,2882966995
5.66667,0.0393684,0.960256,571055,1.12338e+06,118111125,436,412,999782,2879762350
5.83333,0.0405069,0.959131,570386,1.12205e+06,121526839,394,379,999803,2876387748
6,0.0416512,0.958007,569717,1.1213e+06,124959830,398,381,999801,2873016010
6.16667,0.0427896,0.956828,569016,1.11985e+06,128375153,432,411,999784,2869477752
6.33333,0.0439235,0.955676,568331,1.11874e+06,131777269,430,407,999785,2866021043
6.5,0.0450644,0.95454,567656,1.11744e+06,135199942,446,426,999777,2862613565
6.66667,0.0462122,0.953372,566961,1.11605e+06,138643744,442,421,999779,2859110070
6.83333,0.0473503,0.952281,566312,1.11483e+06,142058110,404,389,999798,2855836246
7,0.0484879,0.951136,565631,1.11366e+06,145471083,440,429,999780,2852402009
7.16667,0.0496349,0.949994,564952,1.11234e+06,148912358,414,395,999793,2848974989
7.33333,0.0507823,0.948771,564224,1.11096e+06,152354551,466,443,999767,2845304317
7.5,0.0519214,0.947681,563577,1.10966e+06,155771973,430,416,999785,2842035675
7.66667,0.0530537,0.946605,562937,1.10846e+06,159169231,406,389,999797,2838807127
7.83333,0.0541936,0.945462,562257,1.10709e+06,162589007,408,387,999796,2835377781
8,0.0553428,0.94426,561542,1.10592e+06,166036904,436,424,999782,2831770706
8.16667,0.0564822,0.943161,560889,1.10474e+06,169455227,402,384,999799,2828475253
8.33333,0.0576113,0.942024,560212,1.10356e+06,172842635,424,406,999788,2825063743
8.5,0.0587345,0.940924,559558,1.10238e+06,176212307,390,372,999805,2821761831
8.66667,0.0598631,0.939783,558880,1.10121e+06,179598422,408,397,999796,2818340968
8.83333,0.060992,0.938635,558197,1.1001e+06,182985329,426,407,999787,2814897259
9,0.0621307,0.937505,557525,1.09911e+06,186401471,440,416,999780,2811507157
9.16667,0.0632535,0.936344,556835,1.09783e+06,189769959,452,438,999774,2808023822
9.33333,0.0643757,0.935284,556204,1.09661e+06,193136870,418,398,999791,2804841290
9.5,0.0654953,0.934109,555505,1.09557e+06,196495980,414,397,999793,2801315825
9.66667,0.0666195,0.933041,554870,1.09477e+06,199868490,398,387,999801,2798114059
9.83333,0.0677507,0.9319,554191,1.09353e+06,203262261,440,416,999780,2794688499
10,0.0688801,0.930726,553493,1.09218e+06,206650696,420,398,999790,2791167123
10.1667,0.0699971,0.929634,552844,1.09099e+06,210001891,412,399,999794,2787890857
10.3333,0.0711228,0.928548,552198,1.09009e+06,213379300,400,388,999800,2784633504
10.5,0.0722462,0.927403,551517,1.08895e+06,216749476,416,401,999792,2781197890
10.6667,0.0733599,0.926273,550845,1.08746e+06,220090858,412,401,999794,2777807923
10.8333,0.0744739,0.92521,550213,1.08616e+06,223432980,378,366,999811,2774618626
11,0.0755948,0.924021,549506,1.08474e+06,226795997,424,407,999788,2771050334
11.1667,0.0767142,0.92293,548857,1.08342e+06,230154345,412,394,999794,2767778903
11.3333,0.0778376,0.921799,548184,1.08215e+06,233524709,432,412,999784,2764384082
11.5,0.0789595,0.920718,547542,1.08096e+06,236890345,406,393,999797,2761142480
11.6667,0.0800876,0.91955,546847,1.07984e+06,240274980,414,398,999793,2757637170
11.8333,0.0811987,0.918478,546210,1.07868e+06,243608298,398,374,999801,2754421213
12,0.0823011,0.917329,545527,1.07715e+06,246915657,392,369,999804,2750975539
12.1667,0.0834172,0.916204,544858,1.07595e+06,250264219,452,426,999774,2747600584
12.3333,0.0845342,0.915119,544212,1.07457e+06,253615396,442,421,999779,2744345818
12.5,0.0856522,0.914005,543549,1.07298e+06,256969469,392,366,999804,2741000785
12.6667,0.0867633,0.912878,542879,1.07199e+06,260303141,430,419,999785,2737620285
12.8333,0.0878792,0.911744,542205,1.07056e+06,263650975,408,394,999796,2734217520
13,0.0889874,0.910641,541549,1.06918e+06,266975674,426,403,999787,2730909197
13.1667,0.0900981,0.909539,540894,1.06814e+06,270307893,440,420,999780,2727604600
13.3333,0.0912136,0.908422,540229,1.06671e+06,273654519,400,381,999800,2724251547
13.5,0.0923153,0.907381,539610,1.06562e+06,276959869,372,357,999814,2721128961
13.6667,0.0934189,0.906201,538908,1.06442e+06,280270925,436,421,999782,2717587768
13.8333,0.0945153,0.905179,538301,1.06328e+06,283560283,388,370,999806,2714523319
14,0.0956279,0.90393,537558,1.06158e+06,286898148,480,463,999760,2710776022
14.1667,0.0967381,0.902909,536951,1.06027e+06,290229002,394,369,999803,2707712482
14.3333,0.0978381,0.901841,536316,1.05896e+06,293529023,382,366,999809,2704509356
14.5,0.0989421,0.900719,535648,1.05778e+06,296841180,402,383,999799,2701140826
14.6667,0.100039,0.899546,534951,1.05681e+06,300132963,454,436,999773,2697622807
14.8333,0.101162,0.898476,534315,1.05555e+06,303500389,426,405,999787,2694412198
15,0.10227,0.897365,533654,1.05421e+06,306824250,412,393,999794,2691078129
15.1667,0.103374,0.896275,533006,1.05328e+06,310138605,412,390,999794,2687810268
15.3333,0.104479,0.895175,532352,1.05214e+06,313452238,422,392,999789,2684508549
15.5,0.105587,0.894074,531697,1.05046e+06,316777867,396,379,999802,2681205356
15.6667,0.10669,0.892981,531047,1.04968e+06,320085817,400,376,999800,2677927808
15.8333,0.10779,0.891895,530401,1.04845e+06,323385621,390,373,999805,2674668705
16,0.108888,0.890762,529727,1.04735e+06,326681881,430,417,999785,2671270169
16.1667,0.109982,0.889655,529069,1.04558e+06,329963010,424,407,999788,2667948822
16.3333,0.111076,0.888603,528443,1.04473e+06,333243525,420,401,999790,2664790814
16.5,0.112172,0.887518,527798,1.04358e+06,336533409,392,377,999804,2661536966
16.6667,0.113265,0.886411,527140,1.04254e+06,339810962,408,389,999796,2658214924
16.8333,0.114356,0.88526,526456,1.04123e+06,343084905,460,439,999770,2654763945
17,0.115445,0.884194,525821,1.03997e+06,346353193,430,412,999785,2651563774
17.1667,0.116552,0.883043,525137,1.03853e+06,349673465,460,435,999770,2648110822
17.3333,0.117638,0.882013,524524,1.03738e+06,352930999,412,389,999794,2645021817
17.5,0.118725,0.880925,523877,1.03636e+06,356192564,420,397,999790,2641756805
17.6667,0.11981,0.87984,523232,1.03509e+06,359449140,442,430,999779,2638501749
17.8333,0.120896,0.878752,522585,1.03385e+06,362706332,400,380,999800,2635237393
18,0.121977,0.877667,521940,1.03304e+06,365950036,410,379,999795,2631982525
18.1667,0.123066,0.876629,521322,1.03192e+06,369217426,384,359,999808,2628867328
