Time (min),Monomer Conversion,Polymer Wt Fraction,Mn (g/mol),Mw (g/mol),# Monomers,# Radical Chains RR,# Radical Chains BS,# Intact Chains,# Bonds
4.85142e-06,0,0.999996,198249,387796,0,4,4,999998,998995646
0.166667,0.00107923,0.998798,198012,387417,1079392,136,116,999932,997797994
0.333333,0.00217031,0.997718,197798,387014,2170642,148,135,999926,996718064
0.5,0.00326542,0.996587,197573,386627,3265912,146,137,999927,995586523
0.666667,0.00434153,0.995551,197368,386248,4342188,126,109,999937,994550148
0.833333,0.00542505,0.994416,197143,385818,5425869,162,150,999919,993414967
1,0.006509,0.993336,196929,385441,6509984,126,116,999937,992335311
1.16667,0.00757822,0.992311,196726,385147,7579372,144,130,999928,991309536
1.33333,0.00869933,0.991187,196503,384716,8700650,134,123,999933,990185438
1.5,0.00979528,0.990089,196285,384333,9796768,138,116,999931,989087144
1.66667,0.01088,0.98899,196067,383959,10881659,166,147,999917,987988906
1.83333,0.0119684,0.987915,195854,383516,11970243,134,116,999933,986912878
2,0.0130533,0.986808,195635,383118,13055232,152,140,999924,985806438
2.16667,0.0141541,0.985736,195422,382716,14156276,132,120,999934,984733635
2.33333,0.0152189,0.98464,195205,382340,15221172,142,134,999929,983637589
2.5,0.0163018,0.983566,194992,382014,16304253,170,152,999915,982563252
2.66667,0.0173755,0.982494,194780,381641,17378126,164,144,999918,981491589
2.83333,0.0184487,0.98144,194571,381266,18451463,128,115,999936,980437370
3,0.0195256,0.980365,194357,380897,19528591,132,120,999934,979362272
3.16667,0.0206079,0.979263,194139,380468,20611034,152,136,999924,978259971
3.33333,0.0216846,0.978187,193926,380099,21687911,144,131,999928,977183299
3.5,0.0227552,0.977099,193710,379777,22758678,152,143,999924,976095975
3.66667,0.0238398,0.97604,193500,379453,23843436,150,136,999925,975036067
3.83333,0.0249049,0.974978,193289,379093,24908674,142,126,999929,973973883
4,0.0259606,0.973902,193076,378703,25964578,160,146,999920,972897827
4.16667,0.0270235,0.972876,192873,378274,27027626,128,112,999936,971871482
4.33333,0.0280921,0.97177,192653,377837,28096362,138,122,999931,970765840
4.5,0.0291507,0.970742,192450,377460,29155101,132,112,999934,969738095
4.66667,0.030212,0.969659,192235,377047,30216602,158,140,999921,968654740
4.83333,0.0312876,0.968574,192020,376662,31292334,160,139,999920,967569026
5,0.0323479,0.967516,191810,376280,32352827,158,148,999921,966511166
5.16667,0.0333924,0.966467,191602,375888,33397484,144,126,999928,965461998
5.33333,0.0344338,0.965447,191400,375526,34439070,132,124,999934,964442325
5.5,0.0354707,0.964396,191192,375097,35476091,150,136,999925,963391073
5.66667,0.0365366,0.963331,190981,374758,36542134,156,140,999922,962325823
5.83333,0.0376216,0.96225,190766,374296,37627278,138,126,999931,961243886
6,0.0386841,0.961206,190559,373851,38689946,134,118,999933,960200553
6.16667,0.039756,0.960117,190343,373460,39762007,148,133,999926,959110800
6.33333,0.0408197,0.959057,190133,373090,40825906,150,131,999925,958051057
6.5,0.0418783,0.958018,189927,372808,41884614,140,122,999930,957011448
6.66667,0.0429122,0.956963,189718,372395,42918750,144,134,999928,955956588
6.83333,0.0439576,0.955937,189515,372027,43964270,120,105,999940,954930302
7,0.0450146,0.954884,189306,371690,45021395,130,116,999935,953876749
7.16667,0.0460434,0.953838,189098,371326,46050365,122,107,999939,952830625
7.33333,0.0470972,0.952758,188884,370966,47104300,148,130,999926,951750703
7.5,0.0481517,0.951738,188682,370600,48159040,130,109,999935,950731253
7.66667,0.0492018,0.950677,188472,370226,49209231,142,125,999929,949669884
7.83333,0.0502596,0.949603,188259,369869,50267233,148,134,999926,948595424
8,0.0513105,0.948573,188055,369544,51318294,144,128,999928,947565347
8.16667,0.0523707,0.947513,187845,369225,52378618,142,126,999929,946505224
8.33333,0.0534156,0.946493,187642,368852,53423671,120,105,999940,945484519
8.5,0.0544834,0.945403,187426,368490,54491619,148,132,999926,944394492
8.66667,0.055517,0.944372,187222,368107,55525473,144,128,999928,943363274
8.83333,0.0565466,0.94336,187021,367718,56555135,136,113,999932,942351814
9,0.0575998,0.942297,186810,367327,57608507,134,118,999933,941288235
9.16667,0.0586229,0.941259,186605,366961,58631799,144,130,999928,940249910
9.33333,0.0596804,0.940228,186400,366563,59689454,124,110,999938,939218977
9.5,0.0607412,0.939118,186180,366143,60750412,160,151,999920,938109356
9.66667,0.0617891,0.938066,185972,365722,61798457,140,129,999930,937056900
9.83333,0.0628445,0.937042,185769,365289,62854004,142,125,999929,936032559
10,0.0638979,0.93598,185558,364891,63907622,150,135,999925,934970488
10.1667,0.064931,0.934955,185355,364550,64940903,154,134,999923,933944996
10.3333,0.0659732,0.933905,185147,364237,65983220,130,120,999935,932894566
10.5,0.0670025,0.932886,184945,363890,67012646,144,128,999928,931876411
10.6667,0.0680275,0.931868,184743,363561,68037785,144,128,999928,930857697
10.8333,0.069049,0.930846,184540,363193,69059499,136,121,999932,929836001
11,0.0700769,0.929794,184332,362833,70087493,134,117,999933,928783047
