Time (min),Monomer Conversion,Polymer Wt Fraction,Mn (g/mol),Mw (g/mol),# Monomers,# Radical Chains RR,# Radical Chains BS,# Intact Chains,# Bonds
1.94642e-05,3.99758e-09,0.999998,49584.9,97117.1,1,2,2,999999,248999223
0.166667,0.000805005,0.999175,49544.1,97058.3,201373,38,25,999981,248793250
0.333333,0.00160404,0.998384,49504.9,97001.3,401252,32,19,999984,248595474
0.500001,0.00244874,0.997533,49462.7,96934.3,612556,32,18,999984,248382573
0.666667,0.00326537,0.996709,49421.8,96862.2,816837,34,23,999983,248176489
0.833334,0.00407661,0.995894,49381.4,96792.2,1019769,36,29,999982,247972427
1,0.00488143,0.995105,49342.3,96730.8,1221097,34,20,999983,247775190
1.16667,0.00571821,0.994258,49300.3,96657,1430418,38,24,999981,247563183
1.33333,0.00652602,0.993441,49259.8,96591.7,1632494,40,29,999980,247358852
1.5,0.0073434,0.992625,49219.3,96524.9,1836961,44,29,999978,247154761
1.66667,0.00818612,0.991806,49178.7,96461,2047769,30,20,999985,246949992
1.83334,0.00902704,0.990948,49136.2,96391.9,2258127,46,27,999977,246735236
2,0.00983682,0.990147,49096.4,96317.9,2460693,32,17,999984,246534872
2.16667,0.0106708,0.989304,49054.7,96242.2,2669315,28,19,999986,246324133
2.33333,0.0114785,0.988477,49013.7,96172.6,2871351,46,40,999977,246117264
2.5,0.0122966,0.987694,48974.8,96104,3076010,26,17,999987,245921376
2.66667,0.0131004,0.986867,48933.8,96034.1,3277074,42,28,999979,245714513
2.83333,0.0138916,0.98608,48894.8,95976.8,3475002,38,28,999981,245517446
3,0.0147062,0.985275,48854.9,95916.4,3678784,34,21,999983,245316287
3.16667,0.0155124,0.984473,48815.1,95859.4,3880444,28,16,999986,245115618
3.33333,0.0163014,0.983662,48774.9,95789.3,4077813,46,32,999977,244912684
3.5,0.0171056,0.982871,48735.7,95737.4,4278995,34,25,999983,244714909
3.66667,0.0178857,0.982086,48696.8,95672.7,4474121,38,29,999981,244518517
3.83333,0.0187168,0.981264,48656,95592,4682042,34,24,999983,244312887
4,0.019522,0.980465,48616.4,95530.5,4883467,24,18,999988,244112907
4.16667,0.0203648,0.979597,48573.3,95454.6,5094278,42,28,999979,243895787
4.33333,0.0211863,0.978792,48533.4,95399.6,5299781,34,21,999983,243694352
4.5,0.0219923,0.97799,48493.6,95331.4,5501407,36,20,999982,243493699
4.66667,0.0227818,0.977192,48454.1,95275.2,5698905,36,26,999982,243294112
4.83333,0.0235898,0.976383,48413.9,95216.5,5901022,36,23,999982,243091774
5,0.0243523,0.975634,48376.8,95157.5,6091772,26,17,999987,242904526
5.16667,0.0251346,0.974847,48337.8,95088.4,6287460,34,27,999983,242707587
5.33333,0.0259164,0.974058,48298.7,95027,6483025,38,29,999981,242510138
5.5,0.0267383,0.973241,48258.2,94970.7,6688632,36,28,999982,242305877
5.66667,0.0275315,0.972449,48218.9,94907.7,6887053,26,20,999987,242107790
5.83333,0.0283315,0.971645,48179,94844.2,7087160,42,31,999979,241906640
6,0.029161,0.970822,48138.2,94780.1,7294662,36,19,999982,241700826
6.16667,0.0299704,0.970014,48098.1,94712.7,7497146,34,18,999983,241498482
6.33333,0.0307543,0.969225,48059,94655.3,7693229,36,22,999982,241301312
6.5,0.0315614,0.968415,48018.9,94594.4,7895133,42,29,999979,241098622
6.66667,0.0323745,0.967603,47978.6,94521.4,8098529,36,24,999982,240895402
6.83334,0.0331717,0.966812,47939.4,94457.2,8297953,24,12,999988,240697681
7,0.0339714,0.966001,47899.2,94396.8,8497998,38,29,999981,240494761
7.16667,0.0347717,0.965208,47859.8,94329.2,8698181,32,22,999984,240296261
7.33333,0.0355864,0.964394,47819.5,94272.9,8901983,38,25,999981,240092767
7.5,0.0363343,0.963625,47781.4,94211.1,9089070,36,30,999982,239900436
7.66667,0.0371537,0.962828,47741.8,94138.6,9294048,46,34,999977,239700940
7.83333,0.0379033,0.962073,47704.4,94082.8,9481555,26,22,999987,239512213
8,0.0386844,0.961289,47665.5,94021.7,9676947,30,21,999985,239316127
8.16667,0.0394772,0.960495,47626.2,93959.4,9875275,38,25,999981,239117462
8.33333,0.0402948,0.959684,47585.9,93886.1,10079805,36,26,999982,238914443
8.5,0.0411097,0.958866,47545.4,93812.1,10283654,28,21,999986,238709836
8.66667,0.0418817,0.958099,47507.3,93746.1,10476773,40,23,999980,238517966
8.83333,0.0426873,0.957287,47467.1,93674.2,10678297,28,19,999986,238314945
9,0.0434843,0.956492,47427.7,93602,10877653,30,19,999985,238116121
9.16667,0.0442739,0.955707,47388.8,93543.6,11075171,36,23,999982,237919757
9.33333,0.0450889,0.954895,47348.5,93465.7,11279047,36,20,999982,237716448
9.5,0.0458845,0.954096,47308.9,93402.1,11478068,32,21,999984,237516774
9.66667,0.0466645,0.95331,47269.9,93338,11673181,46,29,999977,237320021
9.83333,0.047457,0.952526,47231,93267.3,11871427,28,22,999986,237123987
10,0.0482274,0.951752,47192.6,93207,12064143,36,23,999982,236930361
10.1667,0.0490063,0.950981,47154.4,93145.1,12259001,28,14,999986,236737394
10.3333,0.0497898,0.950188,47115.1,93076.5,12454986,34,20,999983,236539155
10.5,0.0505709,0.949414,47076.7,93013,12650371,26,20,999987,236345379
10.6667,0.0513653,0.948614,47037,92940.6,12849102,42,30,999979,236145283
10.8333,0.0521763,0.947801,46996.7,92882.2,13051962,32,26,999984,235942048
11,0.0529738,0.947006,46957.3,92817.2,13251471,34,19,999983,235743227
11.1667,0.0537627,0.946218,46918.2,92744.1,13448821,34,24,999983,235545892
11.3333,0.0545215,0.945458,46880.5,92690.4,13638620,40,28,999980,235355909
11.5,0.0553035,0.944675,46841.7,92616.4,13834242,28,20,999986,235159939
11.6667,0.0560758,0.943903,46803.4,92562.8,14027444,34,21,999983,234966861
11.8333,0.0568442,0.943142,46765.7,92508.1,14219645,30,18,999985,234776540
12,0.0575877,0.9424,46728.9,92448.7,14405644,30,17,999985,234590842
12.1667,0.0583389,0.941641,46691.3,92385.7,14593544,34,26,999983,234401083
12.3333,0.0591466,0.940829,46651,92312.7,14795613,32,23,999984,234197823
12.5,0.0599306,0.940049,46612.4,92238.8,14991725,36,26,999982,234002917
