time:1	Mass_Fract_1:2	Poly_Mass_Density_1:3	Monomer_Mass_Density_1:4	Monomer_MW_1:5	Mn_total_1:6	Mw_total_1:7	Mn_poly_1:8	Mw_poly_1:9	PDI_poly_1:10	Xn_poly_1:11	Xw_poly_1:12	F1_in_1:13	diff_power:14	fiss_power:15	beta_power:16	chaint_power:17	F_Diff_Limit_1:18	F_PS_Diff_Limit_1:19	F_Fiss_Limit_1:20	F_PS_Fiss_Limit_1:21	F_Chaint_Limit_1:22	F_Chaint_LMWR_1:23	bA:24	bB:25	Lower_Limit:26	Temperature:27	alpha_bs:28	alpha_ra:29	LMWP_see_Polymer1:30	LMWP_bi_react:31	Mass_Change:32	Mass_Left_1:33	Vol_Factor:34	Mass_Total_1:35	bond_pp:36	num_bonds_1_pp:37	total_bonds_1:38	netrate_BF:39	netrate_R:40	netrate_BS:41	d0:42	Rhat:43	ZL:44	kI:45	kT:46	kD:47	F_chainf_D_1l_pp_pp:48	F_recomb_actual_same_epep:49	chainf_except_D_1l_pp:50	chainf_real_except_D_1l_pp:51	F_end_beta_Rep_1l_pp_ppp:52	DONTUSE:53	DONTUSE_D_1s2pp:54	num_end_H_p:55	arctan_power:56	arctan_factor:57	pie:58	random1:59	random2:60	D_1l_pp0:61	D_1l_pp1:62	D_1l_pp2:63	D_1l_pp3:64	F_D_1l_pp:65	Xn_D_1l_pp:66	bondst_D_1l_pp:67	bondst_lmwr_D_1l_pp:68	bondst_bs_D_1l_pp:69	bondwk_ra_D_1l_pp:70	Rep_1l_pp0:71	Rep_1l_pp1:72	Rep_1l_pp2:73	Rep_1l_pp0B:74	Rep_1l_pp1B:75	Xn_Rep_1l_pp:76	bondst_bs_Rep_1l_pp:77	bondwk_ra_Rep_1l_pp:78	D_1s2pp:79	D_1s2pp_MY:80	F_D_1s2pp:81	so_D_1s2pp:82	SP:83	SP_MY:84	F_SP:85	so_SP:86	Dt1_0:87	Dt1_1:88	Dt1_2:89	Dt0:90	Dt1:91	Dt2:92	Dp1_0:93	Dp1_1:94	Dp1_2:95	Ds1_0:96	Ds1_1:97	Ds1_2:98	Ds0:99	Ds1:100	Ds2:101	R1_0:102	R1_1:103	Xn_R1:104	Re1_0:105	Re1_1:106	Xn_Re1:107	Rs1_0:108	Rs1_1:109	Xn_Rs1:110	Polymer_Yield:111	LMWP_Yield:112	
0.000000e+00	1.000000e+00	5.000000e+00	5.000000e+00	1.982200e+02	7.928800e+04	1.554040e+05	7.928800e+04	1.554040e+05	1.959994e+00	4.000000e+02	7.839976e+02	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	8.000000e-01	8.000000e-01	1.000000e+00	1.000000e+00	1.000000e-01	5.000000e-01	0.000000e+00	2.000000e+00	2.000000e+00	5.331500e+02	7.600000e-01	2.400000e-01	0.000000e+00	3.322259e-03	0.000000e+00	2.522450e-02	0.000000e+00	2.522450e-02	5.032287e-02	1.000000e+00	5.032287e-02	1.000000e-10	1.000000e-10	1.000000e-10	1.000000e+00	1.000000e-10	1.000000e+00	1.000000e-10	1.000000e+09	5.000000e+02	1.000000e+00	1.000000e+00	0.000000e+00	2.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.000000e+00	1.000000e+02	3.141593e+00	5.000000e-01	3.333333e-01	6.306125e-05	2.522450e-02	1.977595e+01	2.309821e+04	1.000000e+00	1.000000e+01	9.000000e-01	9.000000e-01	9.000000e-01	1.100000e+00	1.000000e-20	1.000000e-19	1.000000e-18	1.000000e+00	1.000000e+01	1.000000e+01	9.000000e-01	1.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.000000e+00	6.306125e-05	2.522450e-02	1.977595e+01	6.306125e-05	2.522450e-02	1.977595e+01	6.306125e-05	2.522450e-02	1.977595e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e-20	1.000000e-19	1.000000e+01	1.000000e-20	1.000000e-19	1.000000e+01	1.000000e-20	1.000000e-19	1.000000e+00	1.000000e+00	0.000000e+00	5.331500e+02	
1.000000e+01	1.000000e+00	5.000000e+00	5.000000e+00	1.982200e+02	5.334426e+04	1.551065e+05	7.919068e+04	1.552950e+05	1.961027e+00	3.995090e+02	7.834478e+02	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	3.580346e-03	5.017902e-01	1.000000e+00	1.000000e+00	3.580346e-03	5.000000e-01	0.000000e+00	2.000000e+00	2.000000e+00	5.331500e+02	7.600000e-01	2.400000e-01	0.000000e+00	3.322259e-03	0.000000e+00	2.519279e-02	0.000000e+00	2.522346e-02	5.032287e-02	1.000000e+00	5.032287e-02	1.376337e-08	1.376348e-08	3.094715e-06	4.993716e+00	3.709901e-09	2.248507e+02	5.463215e-07	1.000000e+09	8.341737e+02	1.000000e+00	1.000000e+00	0.000000e+00	2.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.000000e+00	1.000000e+02	3.141593e+00	5.000000e-01	3.333333e-01	6.305939e-05	2.519279e-02	1.973724e+01	2.304099e+04	1.000000e+00	3.995090e+02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	3.709916e-09	1.036189e-06	8.984574e-04	3.709916e+11	1.036189e+14	2.793027e+02	1.000000e+00	1.000000e+00	3.066755e-05	1.215834e-03	1.215834e-03	1.000000e+00	-8.313580e-42	-6.591942e-40	-3.295971e-40	2.000000e+00	9.372694e-05	2.522346e-02	1.973727e+01	9.372694e-05	2.522346e-02	1.973727e+01	6.305939e-05	2.519279e-02	1.973724e+01	3.066755e-05	3.066755e-05	3.066755e-05	3.066755e-05	3.066755e-05	3.066755e-05	3.709916e-09	1.036189e-06	2.793027e+02	3.709916e-09	1.036189e-06	2.793027e+02	0.000000e+00	0.000000e+00	1.000000e+00	9.987842e-01	1.215834e-03	5.331500e+02	
2.000000e+01	1.000000e+00	5.000000e+00	5.000000e+00	1.982200e+02	4.010598e+04	1.548103e+05	7.909343e+04	1.551889e+05	1.962095e+00	3.990184e+02	7.829122e+02	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	3.584669e-03	5.017923e-01	1.000000e+00	1.000000e+00	3.584669e-03	5.000000e-01	0.000000e+00	2.000000e+00	2.000000e+00	5.331500e+02	7.600000e-01	2.400000e-01	0.000000e+00	3.322259e-03	0.000000e+00	2.516186e-02	0.000000e+00	2.522346e-02	5.032287e-02	1.000000e+00	5.032287e-02	1.374646e-08	1.374658e-08	3.092814e-06	4.987584e+00	3.707622e-09	2.249889e+02	5.463215e-07	1.000000e+09	8.341737e+02	1.000000e+00	1.000000e+00	0.000000e+00	2.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.000000e+00	1.000000e+02	3.141593e+00	5.000000e-01	3.333333e-01	6.305939e-05	2.516186e-02	1.969953e+01	2.298553e+04	1.000000e+00	3.990184e+02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	3.707638e-09	1.034304e-06	8.967093e-04	3.707638e+11	1.034304e+14	2.789658e+02	1.000000e+00	1.000000e+00	6.160519e-05	2.442376e-03	2.442376e-03	1.000000e+00	-8.313580e-42	-6.591941e-40	-3.295971e-40	2.000000e+00	1.246646e-04	2.522346e-02	1.969959e+01	1.246646e-04	2.522346e-02	1.969959e+01	6.305939e-05	2.516186e-02	1.969953e+01	6.160519e-05	6.160519e-05	6.160519e-05	6.160519e-05	6.160519e-05	6.160519e-05	3.707638e-09	1.034304e-06	2.789658e+02	3.707638e-09	1.034304e-06	2.789658e+02	0.000000e+00	0.000000e+00	1.000000e+00	9.975576e-01	2.442376e-03	5.331500e+02	
3.000000e+01	1.000000e+00	5.000000e+00	5.000000e+00	1.982200e+02	3.213583e+04	1.545146e+05	7.899625e+04	1.550828e+05	1.963166e+00	3.985281e+02	7.823769e+02	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	3.588981e-03	5.017945e-01	1.000000e+00	1.000000e+00	3.588981e-03	5.000000e-01	0.000000e+00	2.000000e+00	2.000000e+00	5.331500e+02	7.600000e-01	2.400000e-01	0.000000e+00	3.322259e-03	0.000000e+00	2.513094e-02	0.000000e+00	2.522347e-02	5.032287e-02	1.000000e+00	5.032287e-02	1.372957e-08	1.372969e-08	3.090913e-06	4.981455e+00	3.705344e-09	2.251272e+02	5.463215e-07	1.000000e+09	8.341737e+02	1.000000e+00	1.000000e+00	0.000000e+00	2.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.000000e+00	1.000000e+02	3.141593e+00	5.000000e-01	3.333333e-01	6.305939e-05	2.513094e-02	1.966187e+01	2.293018e+04	1.000000e+00	3.985281e+02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	3.705359e-09	1.032420e-06	8.949641e-04	3.705359e+11	1.032420e+14	2.786288e+02	1.000000e+00	1.000000e+00	9.252383e-05	3.668165e-03	3.668165e-03	1.000000e+00	-8.313580e-42	-6.591941e-40	-3.295970e-40	2.000000e+00	1.555832e-04	2.522347e-02	1.966196e+01	1.555832e-04	2.522347e-02	1.966196e+01	6.305939e-05	2.513094e-02	1.966187e+01	9.252383e-05	9.252383e-05	9.252383e-05	9.252383e-05	9.252383e-05	9.252383e-05	3.705359e-09	1.032420e-06	2.786288e+02	3.705359e-09	1.032420e-06	2.786288e+02	0.000000e+00	0.000000e+00	1.000000e+00	9.963318e-01	3.668165e-03	5.331500e+02	
4.000000e+01	1.000000e+00	5.000000e+00	5.000000e+00	1.982200e+02	2.681102e+04	1.542193e+05	7.889912e+04	1.549767e+05	1.964238e+00	3.980381e+02	7.818418e+02	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	3.593343e-03	5.017967e-01	1.000000e+00	1.000000e+00	3.593343e-03	5.000000e-01	0.000000e+00	2.000000e+00	2.000000e+00	5.331500e+02	7.600000e-01	2.400000e-01	0.000000e+00	3.322259e-03	0.000000e+00	2.510004e-02	0.000000e+00	2.522347e-02	5.032287e-02	1.000000e+00	5.032287e-02	1.371269e-08	1.371281e-08	3.089013e-06	4.975331e+00	3.703065e-09	2.252657e+02	5.463215e-07	1.000000e+09	8.341737e+02	1.000000e+00	1.000000e+00	0.000000e+00	2.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.000000e+00	1.000000e+02	3.141593e+00	5.000000e-01	3.333333e-01	6.305939e-05	2.510004e-02	1.962426e+01	2.287494e+04	1.000000e+00	3.980381e+02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	3.703081e-09	1.030538e-06	8.932219e-04	3.703081e+11	1.030538e+14	2.782921e+02	1.000000e+00	1.000000e+00	1.234235e-04	4.893200e-03	4.893200e-03	1.000000e+00	-8.313580e-42	-6.591940e-40	-3.295970e-40	2.000000e+00	1.864829e-04	2.522347e-02	1.962439e+01	1.864829e-04	2.522347e-02	1.962439e+01	6.305939e-05	2.510004e-02	1.962426e+01	1.234235e-04	1.234235e-04	1.234235e-04	1.234235e-04	1.234235e-04	1.234235e-04	3.703081e-09	1.030538e-06	2.782921e+02	3.703081e-09	1.030538e-06	2.782921e+02	0.000000e+00	0.000000e+00	1.000000e+00	9.951068e-01	4.893200e-03	5.331500e+02	
5.000000e+01	1.000000e+00	5.000000e+00	5.000000e+00	1.982200e+02	2.300201e+04	1.539245e+05	7.880206e+04	1.548707e+05	1.965313e+00	3.975485e+02	7.813070e+02	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	3.597703e-03	5.017989e-01	1.000000e+00	1.000000e+00	3.597703e-03	5.000000e-01	0.000000e+00	2.000000e+00	2.000000e+00	5.331500e+02	7.600000e-01	2.400000e-01	0.000000e+00	3.322259e-03	0.000000e+00	2.506917e-02	0.000000e+00	2.522347e-02	5.032287e-02	1.000000e+00	5.032287e-02	1.369582e-08	1.369594e-08	3.087112e-06	4.969210e+00	3.700787e-09	2.254044e+02	5.463215e-07	1.000000e+09	8.341737e+02	1.000000e+00	1.000000e+00	0.000000e+00	2.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.000000e+00	1.000000e+02	3.141593e+00	5.000000e-01	3.333333e-01	6.305939e-05	2.506917e-02	1.958671e+01	2.281981e+04	1.000000e+00	3.975485e+02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	3.700802e-09	1.028658e-06	8.914826e-04	3.700802e+11	1.028658e+14	2.779554e+02	1.000000e+00	1.000000e+00	1.543041e-04	6.117481e-03	6.117481e-03	1.000000e+00	-8.313580e-42	-6.591940e-40	-3.295970e-40	2.000000e+00	2.173635e-04	2.522347e-02	1.958687e+01	2.173635e-04	2.522347e-02	1.958687e+01	6.305939e-05	2.506917e-02	1.958671e+01	1.543041e-04	1.543041e-04	1.543041e-04	1.543041e-04	1.543041e-04	1.543041e-04	3.700802e-09	1.028658e-06	2.779554e+02	3.700802e-09	1.028658e-06	2.779554e+02	0.000000e+00	0.000000e+00	1.000000e+00	9.938825e-01	6.117481e-03	5.331500e+02	
6.000000e+01	1.000000e+00	5.000000e+00	5.000000e+00	1.982200e+02	2.014219e+04	1.536300e+05	7.870505e+04	1.547647e+05	1.966389e+00	3.970591e+02	7.807724e+02	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	3.602070e-03	5.018010e-01	1.000000e+00	1.000000e+00	3.602070e-03	5.000000e-01	0.000000e+00	2.000000e+00	2.000000e+00	5.331500e+02	7.600000e-01	2.400000e-01	0.000000e+00	3.322259e-03	0.000000e+00	2.503831e-02	0.000000e+00	2.522347e-02	5.032287e-02	1.000000e+00	5.032287e-02	1.367896e-08	1.367908e-08	3.085211e-06	4.963093e+00	3.698508e-09	2.255433e+02	5.463215e-07	1.000000e+09	8.341737e+02	1.000000e+00	1.000000e+00	0.000000e+00	2.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.000000e+00	1.000000e+02	3.141593e+00	5.000000e-01	3.333333e-01	6.305940e-05	2.503831e-02	1.954922e+01	2.276479e+04	1.000000e+00	3.970591e+02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	3.698524e-09	1.026779e-06	8.897462e-04	3.698524e+11	1.026779e+14	2.776187e+02	1.000000e+00	1.000000e+00	1.851657e-04	7.341008e-03	7.341008e-03	1.000000e+00	-8.313580e-42	-6.591939e-40	-3.295970e-40	2.000000e+00	2.482251e-04	2.522347e-02	1.954940e+01	2.482251e-04	2.522347e-02	1.954940e+01	6.305940e-05	2.503831e-02	1.954922e+01	1.851657e-04	1.851657e-04	1.851657e-04	1.851657e-04	1.851657e-04	1.851657e-04	3.698524e-09	1.026779e-06	2.776187e+02	3.698524e-09	1.026779e-06	2.776187e+02	0.000000e+00	0.000000e+00	1.000000e+00	9.926590e-01	7.341008e-03	5.331500e+02	
7.000000e+01	1.000000e+00	5.000000e+00	5.000000e+00	1.982200e+02	1.791607e+04	1.533360e+05	7.860810e+04	1.546588e+05	1.967466e+00	3.965700e+02	7.802381e+02	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	3.606439e-03	5.018032e-01	1.000000e+00	1.000000e+00	3.606439e-03	5.000000e-01	0.000000e+00	2.000000e+00	2.000000e+00	5.331500e+02	7.600000e-01	2.400000e-01	0.000000e+00	3.322259e-03	0.000000e+00	2.500746e-02	0.000000e+00	2.522347e-02	5.032287e-02	1.000000e+00	5.032287e-02	1.366212e-08	1.366223e-08	3.083311e-06	4.956980e+00	3.696230e-09	2.256823e+02	5.463215e-07	1.000000e+09	8.341737e+02	1.000000e+00	1.000000e+00	0.000000e+00	2.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.000000e+00	1.000000e+02	3.141593e+00	5.000000e-01	3.333333e-01	6.305940e-05	2.500746e-02	1.951178e+01	2.270988e+04	1.000000e+00	3.965700e+02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	3.696245e-09	1.024902e-06	8.880128e-04	3.696245e+11	1.024902e+14	2.772820e+02	1.000000e+00	1.000000e+00	2.160083e-04	8.563782e-03	8.563782e-03	1.000000e+00	-8.313580e-42	-6.591939e-40	-3.295969e-40	2.000000e+00	2.790677e-04	2.522347e-02	1.951199e+01	2.790677e-04	2.522347e-02	1.951199e+01	6.305940e-05	2.500746e-02	1.951178e+01	2.160083e-04	2.160083e-04	2.160083e-04	2.160083e-04	2.160083e-04	2.160083e-04	3.696245e-09	1.024902e-06	2.772820e+02	3.696245e-09	1.024902e-06	2.772820e+02	0.000000e+00	0.000000e+00	1.000000e+00	9.914362e-01	8.563782e-03	5.331500e+02	
8.000000e+01	1.000000e+00	5.000000e+00	5.000000e+00	1.982200e+02	1.613403e+04	1.530425e+05	7.851122e+04	1.545529e+05	1.968546e+00	3.960812e+02	7.797041e+02	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	3.610821e-03	5.018054e-01	1.000000e+00	1.000000e+00	3.610821e-03	5.000000e-01	0.000000e+00	2.000000e+00	2.000000e+00	5.331500e+02	7.600000e-01	2.400000e-01	0.000000e+00	3.322259e-03	0.000000e+00	2.497664e-02	0.000000e+00	2.522348e-02	5.032287e-02	1.000000e+00	5.032287e-02	1.364528e-08	1.364539e-08	3.081410e-06	4.950870e+00	3.693951e-09	2.258215e+02	5.463215e-07	1.000000e+09	8.341737e+02	1.000000e+00	1.000000e+00	0.000000e+00	2.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.000000e+00	1.000000e+02	3.141593e+00	5.000000e-01	3.333333e-01	6.305940e-05	2.497664e-02	1.947439e+01	2.265508e+04	1.000000e+00	3.960812e+02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	3.693967e-09	1.023027e-06	8.862823e-04	3.693967e+11	1.023027e+14	2.769454e+02	1.000000e+00	1.000000e+00	2.468319e-04	9.785801e-03	9.785801e-03	1.000000e+00	-8.313580e-42	-6.591938e-40	-3.295969e-40	2.000000e+00	3.098913e-04	2.522348e-02	1.947464e+01	3.098913e-04	2.522348e-02	1.947464e+01	6.305940e-05	2.497664e-02	1.947439e+01	2.468319e-04	2.468319e-04	2.468319e-04	2.468319e-04	2.468319e-04	2.468319e-04	3.693967e-09	1.023027e-06	2.769454e+02	3.693967e-09	1.023027e-06	2.769454e+02	0.000000e+00	0.000000e+00	1.000000e+00	9.902142e-01	9.785801e-03	5.331500e+02	
9.000000e+01	1.000000e+00	5.000000e+00	5.000000e+00	1.982200e+02	1.467525e+04	1.527493e+05	7.841439e+04	1.544471e+05	1.969627e+00	3.955927e+02	7.791703e+02	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	3.615214e-03	5.018076e-01	1.000000e+00	1.000000e+00	3.615214e-03	5.000000e-01	0.000000e+00	2.000000e+00	2.000000e+00	5.331500e+02	7.600000e-01	2.400000e-01	0.000000e+00	3.322259e-03	0.000000e+00	2.494584e-02	0.000000e+00	2.522348e-02	5.032287e-02	1.000000e+00	5.032287e-02	1.362845e-08	1.362856e-08	3.079509e-06	4.944764e+00	3.691673e-09	2.259609e+02	5.463215e-07	1.000000e+09	8.341737e+02	1.000000e+00	1.000000e+00	0.000000e+00	2.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.000000e+00	1.000000e+02	3.141593e+00	5.000000e-01	3.333333e-01	6.305940e-05	2.494584e-02	1.943706e+01	2.260040e+04	1.000000e+00	3.955927e+02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	3.691688e-09	1.021153e-06	8.845547e-04	3.691688e+11	1.021153e+14	2.766088e+02	1.000000e+00	1.000000e+00	2.776365e-04	1.100707e-02	1.100707e-02	1.000000e+00	-8.313580e-42	-6.591938e-40	-3.295969e-40	2.000000e+00	3.406959e-04	2.522348e-02	1.943734e+01	3.406959e-04	2.522348e-02	1.943734e+01	6.305940e-05	2.494584e-02	1.943706e+01	2.776365e-04	2.776365e-04	2.776365e-04	2.776365e-04	2.776365e-04	2.776365e-04	3.691688e-09	1.021153e-06	2.766088e+02	3.691688e-09	1.021153e-06	2.766088e+02	0.000000e+00	0.000000e+00	1.000000e+00	9.889929e-01	1.100707e-02	5.331500e+02	
