Time (min),Monomer Conversion,Polymer Wt Fraction,Side Product Wt Fraction,Mn (g/mol),Mw (g/mol),# Monomers,# Radical Chains RR,# Radical Chains BS,# Intact Chains,# Bonds,# Side Prods
0.000000,0.000000,0.999973,0.000000,1209997.275205,1815980.879493,0,4,4,99998,610316305,0
0.166667,0.284128,0.702731,0.000020,850325.295310,1647963.975251,173445611,1928,1906,99036,428866510,5977
0.333333,0.519360,0.473400,0.000136,572828.837630,1134978.431935,317042351,1546,1517,99227,288872113,41468
0.500000,0.705569,0.290555,0.000400,351580.233299,706341.401359,430713070,1252,1200,99374,177254244,122239
0.666667,0.841571,0.156336,0.000818,189170.881060,390193.379783,513735363,932,834,99534,95320172,249710
0.833333,0.927262,0.071006,0.001358,85919.379674,188992.395851,566045172,614,451,99693,43230643,414915
1.000000,0.968512,0.029433,0.001981,35614.892785,92450.789881,591226650,398,190,99801,17852410,605088
1.166667,0.983861,0.013485,0.002636,16317.508239,53465.227320,600596315,250,67,99875,8116988,805009
1.333333,0.989345,0.007347,0.003304,8889.530004,36294.126696,603943569,190,15,99905,4369613,1009155
1.500001,0.991460,0.004561,0.003975,5518.840599,26737.694486,605234880,150,10,99925,2669111,1214057
1.666667,0.992214,0.003131,0.004652,3788.324744,20871.186858,605694906,122,6,99939,1796067,1420831
1.833334,0.992378,0.002291,0.005328,2771.593340,16645.458000,605795181,106,2,99947,1283127,1627297
2.000000,0.992197,0.001794,0.006005,2170.525312,13743.785522,605685053,90,3,99955,979885,1833972
2.166667,0.991852,0.001463,0.006681,1770.338476,11489.359612,605474099,80,2,99960,777989,2040402
2.333334,0.991416,0.001226,0.007353,1483.497800,9653.155760,605207867,70,1,99965,633275,2245897
2.500000,0.990911,0.001056,0.008028,1277.471896,8254.483136,604899820,70,0,99965,529337,2451893
2.666667,0.990363,0.000931,0.008700,1126.316050,7080.074869,604565492,78,3,99961,453085,2657154
2.833336,0.989785,0.000834,0.009375,1009.154579,6031.112618,604212164,62,0,99969,393969,2863407
3.000001,0.989185,0.000763,0.010045,923.319974,5229.010477,603846297,58,0,99971,350664,3067994
3.166667,0.988568,0.000707,0.010718,855.653011,4613.649850,603469560,62,0,99969,316529,3273429
3.333334,0.987943,0.000661,0.011389,799.863814,4089.386959,603087910,50,0,99975,288377,3478333
3.500004,0.987310,0.000623,0.012059,753.331669,3634.730317,602701669,50,0,99975,264902,3683191
3.666667,0.986672,0.000593,0.012727,716.959078,3263.751166,602311913,58,1,99971,246557,3887239
3.833334,0.986029,0.000565,0.013397,684.231098,2885.336323,601919606,44,0,99978,230038,4091656
4.000001,0.985381,0.000544,0.014066,658.662399,2624.669046,601523793,46,0,99977,217140,4296011
4.166668,0.984734,0.000524,0.014733,633.592737,2353.315004,601129081,38,0,99981,204488,4499695
4.333335,0.984087,0.000508,0.015395,614.763217,2176.646271,600733892,42,0,99979,194991,4702037
4.500000,0.983436,0.000493,0.016060,596.969008,1984.192853,600336635,42,0,99979,186014,4905154
4.666668,0.982784,0.000480,0.016724,581.077410,1817.295879,599938868,44,0,99978,177998,5108045
4.833334,0.982129,0.000471,0.017389,570.432818,1716.619029,599538543,32,0,99984,172621,5310899
5.000002,0.981476,0.000462,0.018050,558.614942,1585.591807,599140279,32,0,99984,166659,5513012
5.166667,0.980826,0.000453,0.018709,547.917186,1465.501049,598743261,44,0,99978,161269,5714213
5.333334,0.980173,0.000445,0.019369,538.303516,1360.459757,598344987,44,0,99978,156419,5915775
5.500000,0.979518,0.000438,0.020030,529.957197,1270.461669,597945233,26,0,99987,152198,6117767
5.666667,0.978868,0.000432,0.020687,522.383689,1189.344457,597547985,36,0,99982,148383,6318296
5.833334,0.978214,0.000426,0.021345,515.951750,1129.638877,597149108,34,0,99983,145137,6519358
6.000000,0.977563,0.000422,0.022001,510.030618,1071.355809,596751573,36,0,99982,142151,6719618
