Time (min),Monomer Conversion,Polymer Wt Fraction,Mn (g/mol),Mw (g/mol),# Monomers,# Radical Chains RR,# Radical Chains BS,# Intact Chains,# Bonds
2.43547e-05,4.99623e-09,0.999999,39673.9,77677.8,1,2,2,999999,198998907
0.166667,0.000773471,0.999209,39642.5,77623.7,154811,32,20,999984,198840897
0.333333,0.00156545,0.998411,39610.9,77566.1,313327,34,21,999983,198681100
0.5,0.00229955,0.997689,39582.2,77521.8,460257,36,20,999982,198536713
0.666667,0.00307081,0.996914,39551.5,77471,614625,24,15,999988,198381504
0.833333,0.00383572,0.996139,39520.7,77422.7,767723,30,20,999985,198226387
1,0.00460542,0.995378,39490.5,77372.3,921780,32,17,999984,198074112
1.16667,0.0053458,0.994631,39460.9,77321.2,1069966,24,15,999988,197924677
1.33334,0.00609635,0.99389,39431.5,77276.3,1220190,30,17,999985,197776379
1.5,0.0068824,0.993093,39399.9,77228.5,1377519,34,23,999983,197616675
1.66667,0.00764526,0.992348,39370.3,77176.3,1530205,24,10,999988,197467574
1.83334,0.0083685,0.991622,39341.5,77132.9,1674964,24,15,999988,197322359
2,0.00911303,0.990863,39311.4,77085.4,1823982,28,18,999986,197170421
2.16667,0.00984312,0.990131,39282.4,77040.2,1970109,26,15,999987,197023891
2.33333,0.0105573,0.98942,39254.2,76997.9,2113051,32,24,999984,196881639
2.5,0.0113004,0.988674,39224.6,76947.9,2261776,32,23,999984,196732197
2.66667,0.0120654,0.987915,39194.5,76897.7,2414902,32,23,999984,196580398
2.83333,0.0128458,0.987135,39163.5,76846.3,2571108,24,14,999988,196424203
3,0.0136125,0.986358,39132.7,76796.2,2724556,26,20,999987,196268820
3.16667,0.014386,0.985592,39102.3,76743.7,2879379,32,21,999984,196115489
3.33333,0.0151575,0.984821,39071.7,76700.8,3033780,26,18,999987,195961094
3.5,0.0158801,0.984101,39043.1,76661.9,3178409,30,18,999985,195816959
3.66667,0.0166089,0.983376,39014.4,76614.8,3324280,36,21,999982,195671819
