Time (min),Monomer Conversion,Polymer Wt Fraction,Mn (g/mol),Mw (g/mol),# Monomers,# Radical Chains RR,# Radical Chains BS,# Intact Chains,# Bonds
3.25274e-05,6.65995e-09,0.999998,29762.9,58259.7,1,2,2,999999,148999280
0.166669,0.000708239,0.999272,29741.3,58226.8,106343,32,18,999984,148890291
0.333334,0.00138368,0.998601,29721.4,58191.7,207762,24,16,999988,148789630
0.5,0.00206758,0.997925,29701.2,58157.5,310450,20,10,999990,148688075
0.66667,0.00271568,0.997267,29681.7,58130,407763,24,16,999988,148589320
0.833334,0.00339761,0.996584,29661.3,58099.6,510156,28,19,999986,148486696
1,0.00406671,0.995926,29641.7,58073,610622,22,10,999989,148387855
1.16667,0.00470128,0.99529,29622.8,58045.3,705903,34,17,999983,148292391
1.33334,0.00535141,0.994637,29603.4,58015.5,803522,22,11,999989,148194409
1.5,0.00603727,0.993947,29582.9,57982.3,906505,22,16,999989,148090771
1.66667,0.00668188,0.993306,29563.8,57956.7,1003294,22,16,999989,147994507
1.83333,0.00733225,0.992655,29544.4,57926.8,1100948,22,12,999989,147896775
2,0.00802944,0.99196,29523.7,57896.8,1205631,18,10,999991,147792373
2.16667,0.00867965,0.991313,29504.5,57863,1303262,18,12,999991,147695326
2.33333,0.00933926,0.990651,29484.7,57836.7,1402303,26,16,999987,147595842
2.5,0.0100348,0.989936,29463.5,57801,1506745,26,19,999987,147488583
2.66667,0.0107428,0.989245,29442.9,57767.3,1613041,18,13,999991,147384739
2.83334,0.0114431,0.988548,29422.2,57736.4,1718191,18,8,999991,147280104
3,0.0121004,0.987888,29402.5,57704.7,1816893,22,13,999989,147180939
3.16667,0.0127968,0.987189,29381.7,57672.8,1921450,20,14,999990,147076100
3.33333,0.0134785,0.986515,29361.6,57640.3,2023818,22,10,999989,146974784
3.5,0.0141349,0.985855,29342,57612.6,2122372,24,10,999988,146875697
3.66667,0.0147824,0.985204,29322.6,57583.5,2219595,26,15,999987,146777949
3.83333,0.0154559,0.984536,29302.7,57552.7,2320718,20,11,999990,146677632
4,0.0161014,0.983885,29283.4,57522.8,2417649,18,11,999991,146579973
4.16667,0.016794,0.983192,29262.7,57488.1,2521648,18,13,999991,146475873
4.33333,0.0174592,0.982522,29242.8,57459.1,2621526,24,14,999988,146375351
4.50001,0.0181232,0.981868,29223.3,57429.4,2721219,8,5,999996,146277063
4.66667,0.0187749,0.981215,29203.9,57400.4,2819074,22,13,999989,146178973
4.83334,0.0194092,0.980581,29185,57370.1,2914323,24,13,999988,146083906
5,0.0200754,0.97991,29165.1,57336.1,3014348,22,14,999989,145983109
5.16667,0.0207192,0.979271,29146,57303.1,3111014,16,11,999992,145887089
5.33333,0.0213958,0.978598,29126,57273.4,3212605,20,10,999990,145786043
5.5,0.0220138,0.977975,29107.5,57246.6,3305399,18,13,999991,145692602
5.66667,0.0226422,0.977349,29088.8,57219.1,3399762,16,12,999992,145598519
5.83333,0.0233028,0.976681,29069,57185.1,3498944,34,19,999983,145498310
6,0.0239742,0.976012,29049,57152.1,3599759,24,18,999988,145397798
6.16667,0.024642,0.975352,29029.4,57124.1,3700037,20,13,999990,145298753
6.33333,0.0252753,0.974712,29010.4,57095.9,3795119,24,12,999988,145202591
6.5,0.0259354,0.974052,28990.7,57064.6,3894239,22,13,999989,145103549
6.66667,0.026578,0.973417,28971.8,57036.5,3990724,12,4,999994,145008180
6.83333,0.0272171,0.972768,28952.5,57006.9,4086684,24,15,999988,144910757
7,0.0278728,0.972123,28933.3,56976.6,4185141,24,10,999988,144813866
7.16667,0.028504,0.971489,28914.4,56944.6,4279914,20,8,999990,144718731
7.33333,0.0291873,0.970794,28893.7,56914.2,4382509,38,26,999981,144614262
7.5,0.0298602,0.970128,28873.9,56883.1,4483548,28,12,999986,144514371
7.66667,0.0304868,0.969501,28855.3,56856,4577628,28,17,999986,144420131
7.83334,0.0311444,0.968842,28835.6,56827.2,4676377,24,12,999988,144321212
8,0.0318045,0.968186,28816.1,56797.5,4775490,22,13,999989,144222676
8.16667,0.0324725,0.967521,28796.3,56765.7,4875793,18,5,999991,144122801
8.33333,0.0331009,0.966892,28777.6,56735.6,4970152,22,10,999989,144028445
8.5,0.0337043,0.966289,28759.7,56704.6,5060753,20,8,999990,143937862
8.66667,0.0343038,0.965686,28741.7,56683.8,5150762,14,11,999993,143847303
8.83333,0.0349529,0.965031,28722.2,56647.9,5248229,18,13,999991,143748952
9,0.0356064,0.964385,28703,56620.8,5346346,22,10,999989,143651971
9.16667,0.0362903,0.963702,28682.7,56586.7,5449038,20,9,999990,143549425
9.33333,0.0369253,0.96307,28663.9,56560.3,5544380,18,11,999991,143454507
9.5,0.0375415,0.962446,28645.3,56531.8,5636913,20,10,999990,143360816
9.66667,0.0381924,0.961803,28626.2,56504.5,5734637,18,8,999991,143264331
9.83334,0.0388523,0.961139,28606.4,56474.4,5833726,18,8,999991,143164646
10,0.0394767,0.960514,28587.8,56442.2,5927475,18,12,999991,143070769
10.1667,0.0401664,0.959825,28567.3,56413,6031042,26,16,999987,142967299
10.3333,0.0407854,0.959196,28548.6,56384.4,6123977,20,12,999990,142872890
10.5,0.041473,0.958498,28527.8,56354.5,6227229,28,19,999986,142768058
10.6667,0.0421206,0.957863,28508.9,56328.9,6324471,26,13,999987,142672660
10.8333,0.0427387,0.95724,28490.3,56300,6417272,26,19,999987,142579105
11,0.0433987,0.956597,28471.2,56276.4,6516374,12,5,999994,142482668
11.1667,0.044049,0.955941,28451.7,56245.3,6614023,22,16,999989,142384095
11.3333,0.044734,0.955254,28431.2,56216.8,6716872,24,13,999988,142280938
11.5,0.0453989,0.954587,28411.4,56186.3,6816702,20,15,999990,142180809
11.6667,0.0460434,0.953939,28392.1,56160.2,6913477,24,18,999988,142083583
